,username,mentionedUsers
0,kibondi,['alaminkimathi']
1,seethingsista,[]
2,viewfromnz,"['AtaaOkai', 'k_colonialism']"
3,heirketu,[]
4,OgaNlaMedia,[]
5,FisayoDairo,[]
6,LAPOORG,[]
7,pinkintwit,"['Nikholisg', 'bababire', 'BBCBreaking']"
8,Mumma_Squish,['britishmuseum']
9,k_colonialism,[]
10,AmiesPhilip,"['ubud_id', '_AcrossTheAges']"
11,Guarantor2011,[]
12,FisayoDairo,[]
13,InspectorNerd,[]
14,ChrisLashHist,['PiotrPuchalski5']
15,lautrefigaro,[]
16,1_X7A7U_3,[]
17,ChrisLashHist,[]
18,PhilibertLeslie,['KevinPascoe']
19,sunilification,[]
20,leemorrow08,[]
21,uoacollections,['socantscot']
22,stevexsmith,[]
23,AAIASydney,[]
24,_ciciandrade,['Preta']
25,rhaplord,[]
26,studentoftrad1,['AfroMythHub']
27,aja_modu,[]
28,ogbomo_maxwell,[]
29,AntoineVumilia,['RFI']
30,NiaBenin,['bronze_bombSHEL']
31,etemi,[]
32,ojoshcreatives,[]
33,Shivamgadge3,"['PhilipH97456919', 'RWranglebury', 'suzseddon']"
34,BarnabyPhillips,['thetimes']
35,Wittylama,['NML_Muse']
36,ASIRIMagazine,[]
37,ASIRIMagazine,[]
38,LAPOORG,[]
39,maddy_hs,['profdanhicks']
40,uwagbale_,[]
41,kingUppity,[]
42,lbljewelry,['Etsy']
43,InitiativePers2,"['GUnrecht', 'ngonnso']"
44,MakingOfChamps,[]
45,BarnabyPhillips,['AA_Kultur']
46,HitFMCalabar,"['GeorgeThePoet', 'DukeOfLife', 'FreshBoiRalph']"
47,EmekaOkoye,"['RGAMeyer', 'MCHammer', 'profdanhicks', 'kidehen', 'asemota', 'uwagbale_']"
48,profdanhicks,['Pitt_Rivers']
49,AA_Kultur,['NigeriaNcmm']
50,Potosaramis,"['_Abisinuola', 'BOlolajulo', 'YorubaHistory', 'rhaplord']"
51,LePontCedek,['RFI']
52,LD_Mazz_D,[]
53,cfmemories,[]
54,FMICNigeria,[]
55,FMICNigeria,['NigeriaNcmm']
56,gogeafrica,[]
57,cfmemories,[]
58,AktivIngredient,"['eimasuen', 'EditiEffiong']"
59,Soupa_Sewedo,['RFI']
60,Tinu,[]
61,OyomwanO,[]
62,Aized10,"['HoneyOhannaTene', 'KarenAttiah']"
63,LAPOORG,[]
64,RFImag,[]
65,3rdimension,[]
66,CIJFjeux,[]
67,lbljewelry,['Etsy']
68,cchukudebelu,[]
69,joonspoIaris,['royIjoon']
70,omolaraolusaiye,[]
71,gregorg,"['KarenAttiah', 'moorehn']"
72,AdyTimmer,[]
73,ATGBrokers,[]
74,Aized10,['KarenAttiah']
75,LatestN72062740,[]
76,globalmuseum,[]
77,royllovians,[]
78,ExBulletinUk,[]
79,SojournerQuest1,[]
80,frida1998,"['CynthiaSReyes', 'ksk_pamuk']"
81,tma285,"['CynthiaSReyes', 'ksk_pamuk']"
82,sleekpharm,"['Bobbus_Gracchus', 'Haruka_Black1', 'Avigncourt', 'Breaking911']"
83,chijioke_usu,[]
84,LEONEZSA_ALOBA,[]
85,Rothamhouse,"['stephie_coco', 'kingsleynovich']"
86,LungaTheVoice,"['Exe_Thobz', 'Snow_Mclovin']"
87,letsgo_nigeria,[]
88,AO_Salami,['LiLi_Smiles']
89,SUlam00731161,['AlexandrovnaIng']
90,lbljewelry,['Etsy']
91,PrimaryWoody,[]
92,lbljewelry,['Etsy']
93,EstherLambert1,[]
94,stxceolika,['RealRapman']
95,artspanner,['AHiScharity']
96,kirigwi,['metmuseum']
97,porchrates,[]
98,LAPOORG,['12']
99,holatunboshift,[]
100,zuz_chovanec,['profdanhicks']
101,profdanhicks,['bunkerang']
102,joepenney,[]
103,Laffincrow,"['flatearthstuff', 'ninjasniperpon1', 'jarue369']"
104,BarnabyPhillips,[]
105,Hirn_Knoten,"['Hallaschka_HH', 'niemehrgruen', 'ZDF']"
106,BIAFRAJUSTICES,[]
107,digispikex,"['SaintJohnboo7', 'SuperTobii']"
108,NigeriaStories,[]
109,digispikex,[]
110,DenieceNova,['BonZQi_LD']
111,Arjanti1970,['aberdeenuni']
112,Arjanti1970,['aberdeenuni']
113,Sprocketburp,[]
114,imodara,"['britishmuseum', 'BarnabyPhillips']"
115,ayotula,"['elcream', 'aleonote', 'jeffphilips1']"
116,elcream,"['ayotula', 'aleonote', 'jeffphilips1']"
117,davidkingtheo,[]
118,PD4Congress,[]
119,SicilianBeauti,"['latimes', 'KnightLAT']"
120,LucanCNS,['ddletb']
121,NewAfricanFacts,[]
122,AlekHalingei,['AJEnglish']
123,JCerasoni,[]
124,rtim385,[]
125,eyetraveler,[]
126,JnReign,[]
127,TunukaMedia,[]
128,DjAfrican,[]
129,miss_bem,[]
130,golzarr,[]
131,jpkasusula,[]
132,digispikex,['planetaby']
133,pearson_sydnee,[]
134,DrHarris1911,[]
135,Burkinfo24,['Burkinfo24']
136,N_Circular,[]
137,MiracleousTheo,['chillypama']
138,AllNewsid,[]
139,TalkingAboutTh4,[]
140,BMDaily1,[]
141,RadioBlackOn,[]
142,Sholyzee,[]
143,PavilionWriters,['GeorgeThePoet']
144,thebloomix,[]
145,1SanPetrelli,"['Bishop047', 'IfaladeO', 'tayotaley', 'strayflakes', 'frikwens', 'bunmi_grey']"
146,saayEritrea,['asennai']
147,jdm1906,[]
148,Bishop047,"['IfaladeO', '1SanPetrelli', 'tayotaley', 'strayflakes', 'frikwens', 'bunmi_grey']"
149,IfaladeO,"['Bishop047', '1SanPetrelli', 'tayotaley', 'strayflakes', 'frikwens', 'bunmi_grey']"
150,Bishop047,"['IfaladeO', '1SanPetrelli', 'tayotaley', 'strayflakes', 'frikwens', 'bunmi_grey']"
151,Bishop047,"['1SanPetrelli', 'IfaladeO', 'tayotaley', 'strayflakes', 'frikwens', 'bunmi_grey']"
152,iamAlub,"['OyomwanO', 'SIRDominus', 'EmirofKaduna']"
153,myaimreports,[]
154,1kingAazukAa,[]
155,IfaladeO,"['strayflakes', '1SanPetrelli', 'tayotaley', 'frikwens', 'bunmi_grey']"
156,jott_el,"['HumanHeadless', 'juergenzimmerer', 'tazgezwitscher']"
157,Gistclip,[]
158,djjeffexclusive,[]
159,kessmusictv,[]
160,IfaladeO,"['tayotaley', '1SanPetrelli', 'strayflakes', 'frikwens', 'bunmi_grey']"
161,IfaladeO,"['1SanPetrelli', 'tayotaley', 'strayflakes', 'frikwens', 'bunmi_grey']"
162,skengman091,[]
163,doll_lenses,"['XerxesEmperor', 'bunmi_grey']"
164,Faisalyahaya1,[]
165,drdivinity,[]
166,getviewupdates,[]
167,IGIHE,[]
168,LegalHermit,[]
169,JanCloosterman,['mrjamesob']
170,NewsCentralTV,[]
171,kingdomreward,"['BBCAfrica', 'toluogunlesi', 'BBCAfrica']"
172,justa__mente,['quazanga']
173,Pen_Bird,['foggybottomgal']
174,ancestry_my,[]
175,Centerstrit,[]
176,HilmaAlma,[]
177,ManLikeAkoh,['thepoisengr']
178,iam_rilli,[]
179,Njiraini,"['museumsofkenya', 'tunajibu', 'MuseumSociety', 'magicalkenya', 'britishmuseum', 'museumofbc', 'AMB_A_Mohammed', 'EGodhana', 'StateHouseKenya', 'PressTana', 'HometeamH', 'HistoryKE', 'KResearcher']"
180,Margare96602396,['YouTube']
181,FreieWeltEu,[]
182,PoliticsPolly1,['BreitbartNews']
183,BTBreakingTimes,[]
184,aim6inches,[]
185,Pastoralist1,[]
186,BreitbartLondon,[]
187,babayinka,['ZainAsher']
188,africaupdates,[]
189,gregorg,['bagrau']
190,ChristopheUwiz,[]
191,RYP__,[]
192,PHellermann,[]
193,oladotun1969,[]
194,DEagleOnline,[]
195,umac_icom,[]
196,_SaveOurStatues,[]
197,Pezzant,['profdanhicks']
198,CyrilPedia,[]
199,JakobEyjolfsson,['yacobg42']
200,RichardDalglei4,['guardian']
201,NewSumWorld,['guardian']
202,MalarkeyIndeed,[]
203,SmartAtuadi,[]
204,WesselBaden,[]
205,AjayiKelly2,['Spend0Gustav0']
206,anthonyrichter,"['metmuseum', 'MuseumDirectors']"
207,naijiant,[]
208,gyoung9751,['TheArtNewspaper']
209,amitvelo,[]
210,amitvelo,[]
211,amitvelo,[]
212,pjmatheson,[]
213,Dot_E_Fresh,"['victorsozaboy', 'molarawood']"
214,munashanko07,['AJStream']
215,_ugoBoss,['snazzy_bazzy']
216,pusztaijanos279,[]
217,artnet,[]
218,MarkMomori,['k_colonialism']
219,saka_luqman,[]
220,_AqueleGajo,[]
221,unicornguytunde,"['AJEnglish', 'AJStream']"
222,k_colonialism,[]
223,Gazette_Inter,"['burstowhewett', 'profdanhicks']"
224,FemiOke,"['aberdeenuni', 'AJStream']"
225,artcrimeHQ,[]
226,gazette_drouot,[]
227,ChasingAphrodit,[]
228,docmartin2mc,[]
229,DebbyDonnelly,[]
230,DanielSalinas00,[]
231,metalabharvard,['minneatairu']
232,profdanhicks,[]
233,tweeterests,[]
234,Dubuhassan,"['TessH420', 'everydayrobsten']"
235,adamsmith1922,[]
236,ShWachira,"['bartnewland', 'amandacarpenter']"
237,The_WorldRuler,['oku_yungx']
238,vickymorgan_27,['AsteadWesley']
239,Zebra_carol,[]
240,_Gutierrez,"['LorenzoRosso92', 'Hdharris_irl', 'AsteadWesley']"
241,paintwithlite,[]
242,aashi310,[]
243,SimeonD,['aberdeenuni']
244,artnet,[]
245,TheSpectator,['timbobutcher']
246,Fortuneplay3,"['dearolaa', 'adarosy17']"
247,TalkHistoryJA,[]
248,lbljewelry,['Etsy']
249,Crypticalapp,[]
250,archaeostef,['DrJACameron']
251,stevelorenti,"['burstowhewett', 'profdanhicks']"
252,alannamaddenpdx,[]
253,profdanhicks,['burstowhewett']
254,bcnn1,[]
255,MashedHeritage,[]
256,JudgesConsulta1,[]
257,profdanhicks,[]
258,oginni_lanre,"['LuckyOkoedion', 'seun_funm1', 'Austin75047722', 'realFFK']"
259,LuckyOkoedion,"['oginni_lanre', 'seun_funm1', 'Austin75047722', 'realFFK']"
260,LuckyOkoedion,"['oginni_lanre', 'Austin75047722', 'realFFK']"
261,lbljewelry,['Etsy']
262,andrewahala,"['BCRPM', 'profyarrow']"
263,JudgesConsulta1,[]
264,kellzomo,[]
265,kellzomo,[]
266,SmithsonianMag,[]
267,OvieOmoAgege,[]
268,MMGlody,"['si_africanart', 'HIH_PrincessYHW', 'bjlaurenceau']"
269,RayToluAyo,"['oyosportcouncil', 'nsf_edo', 'oyostategovt', 'seyiamakinde']"
270,DanielR59913861,[]
271,artnet,[]
272,BlkHistStudies,[]
273,DesmondIgbekele,['DeleFarotimi']
274,brianrolfeart,[]
275,ArchPodNet,[]
276,Basemanofficial,"['VictorineSara', 'KomalBrar__', 'ISedio']"
277,africa_location,[]
278,Davidmuchuchu,"['VascoDaGappah', 'SandraAAI7', 'abuhassan221', 'MimiReeds']"
279,NewAfricanFacts,[]
280,SolHughesWriter,[]
281,metaphysician9,[]
282,MarcusErve,[]
283,SAAntiquesPro,[]
284,binugazi,"['oxfordastrology', 'AstroAmigo', 'AbhiAttorney_', 'NavroopSingh_', 'ijyotish', 'DrSJaishankar', 'PMOIndia', 'MinhazMerchant', 'MEAIndia']"
285,TheCARROTCo,[]
286,sucremami,[]
287,tournigeriang,[]
288,tazerofficial,[]
289,MakingOfChamps,[]
290,DavidAustGAM,"['EDDEddy89270452', 'LeftHandedLarue']"
291,FightingGist,"['FawazGloves', 'lagosboxing', 'Lagosboxing2021']"
292,refinedng,['AminatIdrees']
