,username,mentionedUsers
0,Ming_tfk27,[]
1,deadtoothck,['yoofilos']
2,Geology_History,[]
3,IronhideArcee,['CeraMtns']
4,LongTany,['CeraMtns']
5,javier_aeoa,"['TyrannosaurTJ', 'EDGEinthewild']"
6,YBankole02,[]
7,YBankole02,[]
8,JoshuaRojas19,[]
9,Rendedeer,['MannThisguy']
10,JoshuaRojas19,[]
11,JoshuaRojas19,[]
12,JoshuaRojas19,['greasydirtgrub']
13,hrjkitten,[]
14,lafiladifer,[]
15,MannThisguy,['noticebodi']
16,imhotep_gold,"['Mgossi', 'MannThisguy']"
17,Mgossi,['MannThisguy']
18,lifeofmanuh,[]
19,trzylfik,"['BVisigodo', 'SerpenIllus']"
20,BVisigodo,['SerpenIllus']
21,marioquiron,[]
22,marioquiron,[]
23,MyslCeska,[]
24,pklosko,[]
25,jhettgreene,[]
26,impelisa_travel,[]
27,dinodadreviews,['tyrannoraptoran']
28,tamati_biskit,[]
29,tamati_biskit,[]
30,YBankole02,[]
31,IronhideArcee,['JCRev4']
32,King_Edmarka,[]
33,i_love_juju,['YDAWtheShow']
34,KingRexy328,"['JCRev4', 'TM9380']"
35,ildarotyrannus,['skeletaldrawing']
36,dinojonrox,[]
37,Zegh8578,['Philoceratops']
38,Rohstahlski,[]
39,la_lioness,[]
40,frank___furter,['TomHoltzPaleo']
41,bigbrotz,"['IssaKalenge', 'Mavericking_', 'king_lameck']"
42,jose_Zillah,['king_lameck']
43,schwarze0fm_bot,"['GeschichteFM', 'meszner', 'stormgrass']"
44,trzylfik,[]
45,alinemghilardi,[]
46,LikesPterosaurs,[]
47,LongTany,['kotochedias']
48,motherovvinegar,['kuzim_za']
49,JenLRossman,[]
50,paleokrahl,[]
51,Randomdinos01,['jimmadseni']
52,nyrorosaurus,['TetZoo']
53,nyrorosaurus,[]
54,nyrorosaurus,[]
55,nyrorosaurus,[]
56,nyrorosaurus,[]
57,javier_aeoa,['BrianEngh_Art']
58,LongTany,['CeraMtns']
59,ProfPeterDoyle,['clairey_lew']
60,christineax,"['mfnberlin', 'TanzaniaDaily', 'TanzaniaHistory', 'TCRA_Tz', 'TanzaniaNetwork', 'SZ']"
61,Yokomation,[]
62,Phengarornis,['P2N2222A']
63,LongTany,['P2N2222A']
64,YBankole02,[]
65,LongTany,['CeraMtns']
66,LongTany,"['CeraMtns', 'P2N2222A']"
67,nyrorosaurus,['King_Edmarka']
68,_pterojacktyl,['King_Edmarka']
69,LongTany,['CeraMtns']
70,KWhalord,['CeraMtns']
71,bricksmashtv,[]
72,LikesPterosaurs,[]
73,nyrorosaurus,['fastesthemi']
74,nyrorosaurus,['LikesPterosaurs']
75,nyrorosaurus,['JoschuaKnuppe']
76,DarioEstraviz,[]
77,thejohnconway,['MikeTaylor']
78,Fang83768513,"['ArminReindl', 'DEGL_TOONS', 'JCRev4', 'CJBROSKIN']"
79,PSigungu,"['TTBTanzania', 'urithiwetutz', 'Zanzibar', 'UNESCO']"
80,LongTany,[]
81,LongTany,[]
82,LongTany,[]
83,Philoceratops,[]
84,LongTany,[]
85,LongTany,[]
86,pegasaurus_42,[]
87,SangitoE,['HKigwangalla']
88,wessexbaryonyx,[]
89,Fang83768513,"['JCRev4', 'Goji_Saurus', 'ArminReindl']"
90,wessexbaryonyx,['ongyeagungye']
91,wessexbaryonyx,[]
92,LikesPterosaurs,[]
93,TendanganSepeda,[]
94,wessexbaryonyx,[]
95,Duper_Aspergers,[]
96,VincentReneleau,[]
97,flowermanase,['DrDonnaYates']
98,bertschulz,['SusaMem']
99,wessexbaryonyx,[]
100,schiefgelesen,['van_de_light']
101,PalaeoPatch,['LikesPterosaurs']
102,ameghiniana,[]
103,thejohnconway,[]
104,kuzim_za,['Lepidodendron']
105,SerpenIllus,[]
106,Geology_History,[]
107,Cambroraster,['LikesPterosaurs']
108,christian_am_i,['mfnberlin']
109,jeffalbert2hell,[]
110,MikeTaylor,['dinodadreviews']
111,dinodadreviews,[]
112,dinodadreviews,[]
113,JuliotheArtist,['zmiller1902']
114,JoaoVascoLeite,['mfnberlin']
