,username,retweetCount,replyCount,followersCount
8034,profdanhicks,6020.0,851.0,32030.0
901,CNNAfrica,2201.0,221.0,1313973.0
5174,ajplus,1865.0,105.0,1211040.0
8909,victorsozaboy,1128.0,89.0,11238.0
250,AfricaFactsZone,1079.0,213.0,580769.0
6161,ehimeora,986.0,18.0,116228.0
5872,crimesofbrits,981.0,39.0,135043.0
5400,artnet,937.0,70.0,1950854.0
667,BarnabyPhillips,871.0,116.0,6521.0
6517,guardian,864.0,135.0,9740924.0
5379,artcrimeprof,741.0,90.0,18330.0
390,Amaka_Ekwo,738.0,12.0,127031.0
262,AfricaStoryLive,719.0,70.0,117522.0
1267,DavidOlusoga,716.0,63.0,175300.0
8873,uwagbale_,659.0,47.0,4228.0
6948,juergenzimmerer,659.0,41.0,12284.0
4466,TheArtNewspaper,659.0,36.0,414535.0
618,BBCWorld,654.0,183.0,32026453.0
5031,aaprocter,637.0,19.0,10118.0
3920,Reuters,626.0,175.0,23456626.0
6114,dwnews,625.0,88.0,498641.0
5045,aberdeenuni,551.0,61.0,68319.0
7259,m999ad,530.0,0.0,51520.0
5391,arthistorynews,529.0,93.0,36128.0
117,AJEnglish,528.0,128.0,6895938.0
3515,OnlyAfricaFacts,518.0,43.0,140548.0
2474,KarenAttiah,494.0,41.0,237960.0
1603,EromoEgbejule,485.0,16.0,9076.0
2149,ImohUmoren,468.0,22.0,54227.0
1792,GUnrecht,450.0,90.0,2082.0
3071,MobilePunch,440.0,174.0,4308321.0
7450,misszing,421.0,12.0,39588.0
6975,k_colonialism,359.0,63.0,292664.0
3726,PlutoPress,347.0,28.0,38327.0
5401,artnews,341.0,23.0,252823.0
614,BBCAfrica,337.0,61.0,3317146.0
971,Channel4News,306.0,40.0,2448501.0
3367,NigeriaStories,301.0,34.0,69874.0
5829,cnni,284.0,74.0,12362705.0
1693,FelwineSarr,256.0,12.0,9717.0
6519,guardiannews,237.0,27.0,3542035.0
3822,RGAMeyer,221.0,31.0,15706.0
8861,uoacollections,215.0,15.0,3378.0
1700,FestusGreen,208.0,13.0,13032.0
951,CathyHickley,198.0,12.0,2020.0
790,Bonn1eGreer,196.0,51.0,99236.0
5127,africaupdates,194.0,20.0,121081.0
5279,analuciaraujo_,187.0,15.0,20634.0
4052,SaharaReporters,186.0,101.0,3709136.0
771,BlkHistStudies,184.0,11.0,127553.0
1414,DrDonnaYates,184.0,11.0,24908.0
1436,DrOlusesan,181.0,25.0,44034.0
4982,_SaveOurStatues,177.0,101.0,23872.0
7079,kola_aina,170.0,6.0,32893.0
900,CNN,160.0,27.0,53792223.0
2818,MCHammer,156.0,21.0,3239059.0
5598,bopinion,156.0,12.0,360162.0
8261,samirasawlani,138.0,13.0,109558.0
5738,channelstv,136.0,83.0,4744384.0
6176,elginism,136.0,18.0,11135.0
1781,GHANAFACTZ,135.0,8.0,6743.0
8148,rhaplord,132.0,21.0,2343.0
4758,VardasGeorge,130.0,29.0,1876.0
1517,EdoSocials,130.0,15.0,5251.0
7724,nytimes,129.0,22.0,49887169.0
2167,InsideOutWest,129.0,18.0,7340.0
6334,folukeifejola,122.0,41.0,6259.0
3237,Naija_PR,120.0,28.0,713683.0
3882,Real_AmakaIke,120.0,12.0,19721.0
2036,HistoryVille,116.0,20.0,40538.0
1691,Felix_Tih,114.0,8.0,7158.0
8823,tweetticator,111.0,7.0,669.0
7725,nytimesarts,109.0,4.0,2707019.0
8077,qzafrica,105.0,6.0,49227.0
3155,MuseumsAssoc,104.0,6.0,62100.0
4461,TheAfricaReport,103.0,2.0,188243.0
5224,allafrica,102.0,12.0,439421.0
6815,jasminedotiwala,100.0,5.0,39798.0
6721,incunabula,99.0,11.0,32267.0
7671,nigeriainvideos,98.0,6.0,22406.0
3251,Nanomsky,97.0,6.0,237.0
7849,osaze_amadasun,96.0,10.0,798.0
155,ASIRIMagazine,96.0,3.0,5334.0
1570,EmekaOkoye,95.0,15.0,21828.0
850,BrutishMuseum,94.0,8.0,3694.0
9036,xspotsdamark,94.0,5.0,7894.0
5405,artrecovery,90.0,0.0,6131.0
6333,followbacksen,90.0,0.0,5067.0
5647,bungatuffie,88.0,5.0,23316.0
1219,DalrympleWill,88.0,19.0,1192436.0
1369,Diversehistory2,85.0,2.0,9029.0
1866,Gidi_Traffic,85.0,52.0,1697248.0
4494,TheEconomist,85.0,15.0,25621272.0
2031,HistoryHeroes,84.0,1.0,71765.0
3167,MxolisiBob,83.0,8.0,26314.0
8720,this_Sivana_sef,83.0,8.0,6082.0
875,CARAA_Center,83.0,6.0,38416.0
4232,SmithsonianMag,83.0,6.0,310842.0
2342,JimMFelton,83.0,12.0,290097.0
8673,thecableng,81.0,13.0,715512.0
1364,DionneGrant,80.0,8.0,13016.0
984,ChasingAphrodit,80.0,4.0,7404.0
1930,GuardianNigeria,79.0,28.0,2155813.0
6888,joepenney,76.0,14.0,15882.0
3579,PHellermann,76.0,5.0,979.0
7714,nubia_watu,76.0,6.0,8843.0
3921,ReutersAfrica,75.0,10.0,795966.0
2075,IAL_art_law,74.0,1.0,3237.0
4593,TimesLIVE,74.0,22.0,1587596.0
8760,todayng,73.0,9.0,223510.0
3477,OkayAfrica,72.0,3.0,111366.0
5410,artsy,71.0,1.0,1787256.0
8086,rachelmsavage,70.0,4.0,7994.0
7476,molarawood,70.0,10.0,16592.0
3288,NewAfricanFacts,70.0,6.0,14404.0
2550,KnightLAT,66.0,4.0,34942.0
4230,SmartAtuadi,66.0,7.0,41134.0
5832,cobbo3,65.0,3.0,455091.0
2030,HistoryExtra,65.0,8.0,361152.0
8517,stephhegarty,65.0,6.0,25326.0
3229,NaijaFlyingDr,65.0,11.0,143102.0
2150,Imudia_se2,65.0,5.0,3114.0
617,BBCTwo,64.0,14.0,354726.0
8116,realFFK,64.0,85.0,1005155.0
1503,EconCulture,63.0,1.0,95998.0
2724,LisaALindsay,62.0,3.0,1592.0
5840,coloniallegacy,62.0,7.0,5114.0
3941,Rilwannajib,62.0,4.0,82496.0
924,CapitalMoments,62.0,0.0,9945.0
3498,Omambala_Chuks,61.0,0.0,17483.0
3366,NigeriaNewsdesk,59.0,11.0,1833398.0
2169,InspectorNerd,59.0,2.0,3799.0
5419,asemota,58.0,10.0,161234.0
3344,NicholasGuyatt,57.0,3.0,13411.0
4815,WalleLawal,57.0,3.0,28518.0
5125,africasacountry,56.0,1.0,116803.0
5567,blackwelloxford,56.0,8.0,29775.0
8006,porchrates,55.0,8.0,2348.0
8170,rjmkoeln,55.0,2.0,190.0
2697,LetlapaMphahlel,54.0,11.0,12189.0
593,Austin_Rioba,54.0,13.0,311.0
5205,alexisak,53.0,6.0,41661.0
6060,dondekojo,52.0,24.0,46697.0
143,ARISEtv,52.0,21.0,290328.0
174,AaronBastani,52.0,4.0,91101.0
4546,TheVoiceNews,51.0,1.0,43604.0
1465,EAustinz,50.0,6.0,894.0
555,Artnose,50.0,10.0,2282.0
7227,lossonpierre,49.0,3.0,474.0
5784,chirikure,48.0,1.0,1521.0
1538,EjimDike,47.0,7.0,541.0
5210,alfonslopeztena,47.0,2.0,196437.0
8841,ukpuru,47.0,5.0,12826.0
3715,Pitt_Rivers,47.0,0.0,42076.0
5652,business,46.0,7.0,7339200.0
6518,guardianculture,46.0,4.0,111051.0
5483,barry_shep,45.0,2.0,3668.0
6814,jasebyjason,45.0,0.0,30626.0
4047,SafetyPinDaily,45.0,0.0,150369.0
8040,protosemite,45.0,3.0,7975.0
8444,snoep00994354,45.0,6.0,254.0
8944,ward_esme,44.0,1.0,8069.0
8734,ticiaverveer,44.0,3.0,134040.0
6631,hyperallergic,44.0,0.0,161054.0
809,BradleyJames_SF,44.0,0.0,678.0
267,Africa_Archives,44.0,8.0,85588.0
6541,hallaboutafrica,44.0,4.0,60717.0
5492,bbcworldservice,44.0,4.0,444643.0
2130,IcomOfficiel,43.0,1.0,34332.0
1702,FiammettaRocco,43.0,3.0,5284.0
3622,Pastoralist1,42.0,2.0,10200.0
1474,EMOWAA_,41.0,1.0,441.0
8916,visit_benin,41.0,8.0,812.0
620,BBGAfrica,40.0,3.0,167127.0
1971,HasBezosDecided,40.0,3.0,103544.0
4650,TristanCorkPost,40.0,2.0,7510.0
6291,fatimamanji,40.0,6.0,49555.0
7663,nickmerriman01,40.0,0.0,4485.0
628,BGTrust,39.0,2.0,2144.0
483,Apollo_magazine,39.0,5.0,30300.0
8477,spikedonline,39.0,6.0,119127.0
6895,johnedwinmason,39.0,6.0,16436.0
7964,philipoltermann,39.0,4.0,20470.0
118,AJStream,39.0,28.0,245017.0
6434,ger_trends,39.0,3.0,35562.0
4519,TheNationNews,38.0,3.0,1639874.0
4159,Sharonheal,38.0,1.0,12338.0
1484,ETSYcreativity,38.0,3.0,59998.0
691,BelindaOtas,38.0,2.0,4939.0
1659,FMICNigeria,37.0,15.0,261098.0
4936,YusufTuggar,37.0,20.0,9748.0
1696,FemiOke,37.0,9.0,84749.0
116,AJENews,37.0,3.0,1930238.0
6059,dondee_don,37.0,10.0,3583.0
4038,SXMMY_Z,37.0,7.0,513.0
8075,qz,37.0,0.0,387063.0
3015,MichaelDPress,37.0,14.0,3520.0
7048,kikimordi,37.0,10.0,97281.0
5397,artlawalex,36.0,5.0,1678.0
5412,artxlagos,36.0,7.0,3524.0
6302,femioyeniran,35.0,9.0,9527.0
2295,JavierPes1,35.0,5.0,6559.0
5183,akin_ogundiran,35.0,0.0,812.0
2512,KennethTharp,34.0,4.0,9518.0
4598,TinctureOfMuse,34.0,6.0,8175.0
4673,UCL_IAS,34.0,0.0,3324.0
2209,JAMAiwuyor,34.0,0.0,11182.0
1000,Chikaokekeagulu,34.0,2.0,1694.0
4498,TheFavoredWoman,34.0,0.0,41109.0
4678,UK_ICOM,33.0,2.0,8951.0
5326,anthonyrichter,33.0,2.0,480.0
4545,TheTobiSmith,33.0,1.0,12903.0
5179,akbarth3great,33.0,0.0,12068.0
5626,bristolmuseum,33.0,3.0,33280.0
6304,femkevanzeijl,33.0,4.0,6545.0
6834,jeffpropulsion,32.0,5.0,18869.0
7873,paddydocherty,32.0,11.0,10644.0
5067,acropolis_the,32.0,4.0,104.0
9051,ykomska,32.0,0.0,10720.0
7910,paulclammer,32.0,8.0,5900.0
9017,woye1,32.0,19.0,50978.0
1851,GermanyDiplo,31.0,8.0,222928.0
8385,shyllonmuseum,31.0,9.0,938.0
825,BrexitBin,31.0,3.0,59364.0
6654,iahiindy,31.0,1.0,875.0
4679,UKinNigeria,30.0,11.0,157489.0
5712,cchukudebelu,30.0,2.0,227608.0
8575,swgannon,30.0,5.0,2914.0
7697,nosmotG,29.0,6.0,897.0
268,Africa_Oxford,29.0,2.0,6307.0
4295,StatuesSpeaking,28.0,3.0,358.0
1942,HISTORY,28.0,9.0,2768374.0
7536,museumhour,28.0,1.0,17295.0
7410,mhundwa7,27.0,2.0,3159.0
4035,SVBeurden,27.0,1.0,1080.0
8825,tweetymonkey,27.0,3.0,16037.0
4548,TheWorld,27.0,4.0,40080.0
4484,TheCharlesIsidi,27.0,5.0,17553.0
726,BidariSreenivas,27.0,0.0,2913.0
1007,Chinyere1122,27.0,0.0,1564.0
8142,republicjournal,27.0,2.0,21017.0
6029,diversehistory,27.0,2.0,3428.0
615,BBCNews,26.0,7.0,12306105.0
8586,tadethompson,26.0,8.0,13714.0
8140,renoomokri,26.0,8.0,928367.0
762,Blacksregion,26.0,4.0,8090.0
3077,Mohammed222022,26.0,6.0,8226.0
6364,freepeeper,26.0,8.0,9972.0
759,Blackgermans,25.0,0.0,9654.0
3253,Naomi_Daw,25.0,0.0,1926.0
8808,trypresh220,25.0,0.0,1641.0
3683,PeterTatchell,25.0,9.0,92681.0
2101,ISDBund,25.0,1.0,18059.0
3205,NKUMEH,25.0,2.0,2411.0
260,AfricaResearch,25.0,0.0,93921.0
2358,Joe__Bassey,24.0,4.0,14583.0
6190,elnathan_john,24.0,3.0,45442.0
4587,TimCWrites,24.0,24.0,1884.0
4207,SirGeoffPalmer,24.0,9.0,9218.0
2293,Jason_M_Kelly,23.0,1.0,2755.0
3163,Mutabaruka_Ja,23.0,6.0,9676.0
2194,ItalianAcademy,23.0,4.0,1168.0
3322,NewsWireNGR,23.0,2.0,22821.0
6058,donalhassett1,23.0,3.0,4537.0
4108,SciTechAfrica,23.0,1.0,1618.0
3360,Nigeria,23.0,3.0,61646.0
5377,artcrimeHQ,23.0,1.0,2202.0
8536,stxwelsh,22.0,0.0,3678.0
6666,iamabayorr,22.0,9.0,29464.0
81,AAMAfrica,22.0,3.0,2649.0
1417,DrEmilineSmith,22.0,0.0,1882.0
6737,instablog9ja,22.0,24.0,628364.0
7071,klimtsonian,22.0,3.0,13353.0
8192,rogueclassicist,22.0,2.0,20264.0
1819,GbenroAdegbola,22.0,6.0,12724.0
3304,NewsCentralTV,22.0,6.0,6278.0
8710,thetimes,22.0,8.0,1549708.0
2982,McrMuseum,21.0,1.0,40836.0
6605,hofrench,21.0,1.0,25027.0
1928,GuardianAus,21.0,8.0,293467.0
102,AFP,21.0,3.0,2013720.0
6998,katebrownDE,21.0,2.0,902.0
2144,ImAdeAkins,21.0,0.0,3949.0
4698,Ummismaelsf,21.0,2.0,12611.0
