,index,surname,count,has_nums,no_words,no_letters,race,"Asian,GreaterEastAsian,EastAsian","Asian,GreaterEastAsian,Japanese","Asian,IndianSubContinent","GreaterAfrican,Africans","GreaterAfrican,Muslim","GreaterEuropean,British","GreaterEuropean,EastEuropean","GreaterEuropean,Jewish","GreaterEuropean,WestEuropean,French","GreaterEuropean,WestEuropean,Germanic","GreaterEuropean,WestEuropean,Hispanic","GreaterEuropean,WestEuropean,Italian","GreaterEuropean,WestEuropean,Nordic",african
0,960,oskar,26,0,1,5,"Asian,IndianSubContinent",0.0016435538,0.008665574,0.3712792,0.019905446,0.15492623,0.062049143,0.048672877,0.07677757,0.012325595,0.009715168,0.034730524,0.009655963,0.1896532,Non-African
1,247,darwin,24,0,2,12,"GreaterEuropean,British",0.002219668,0.00036979793,0.00035668668,0.00046006165,0.000974507,0.96530604,0.0048480737,0.016034508,0.0040399437,0.0014759563,0.0031119136,0.00016231394,0.00064035103,Non-African
2,805,macron,23,0,3,20,"GreaterEuropean,British",0.023244495,0.010612822,0.0023109878,0.037239973,0.0047607385,0.6656499,0.005878851,0.02087712,0.17325072,0.0035785632,0.009418989,0.04102946,0.0021474175,Non-African
3,660,knochen,21,0,8,56,"GreaterEuropean,British",0.0045702322,0.004265771,0.0007070118,0.002255064,0.0035635259,0.3369197,0.028087683,0.22811498,0.080056146,0.07776819,0.035532247,0.01613533,0.18202406,Non-African
4,1294,vogel,19,0,4,20,"GreaterEuropean,Jewish",0.0053906874,0.0011851831,0.005107986,0.00512199,0.005437874,0.17644954,0.14074937,0.3059064,0.0888879,0.17493513,0.035751205,0.035444684,0.01963204,Non-African
5,612,jensen,15,0,4,24,"GreaterEuropean,WestEuropean,Nordic",0.0004306652,0.0033893022,0.00021319078,0.0002685832,0.00016552012,0.015981283,0.0006938769,0.0030438716,0.0016751491,0.00611398,0.001167679,0.0032244215,0.9636325,Non-African
6,551,heumann,15,0,3,21,"GreaterEuropean,WestEuropean,Germanic",0.010640383,0.0007695708,0.013931374,0.002237761,0.00483184,0.048886072,0.020349849,0.19235799,0.065612264,0.57590365,0.032242034,0.0040430287,0.028194068,Non-African
7,843,merkel,15,0,2,12,"GreaterEuropean,Jewish",0.0042689154,0.0007548399,0.0029603841,0.013041917,0.012535429,0.078092285,0.17541163,0.50927365,0.045936283,0.117386274,0.020552369,0.0027542335,0.017031834,Non-African
8,517,hall,14,0,1,4,"GreaterEuropean,British",0.0020094747,0.0007059892,0.002728531,0.0040898547,0.0032216662,0.8996038,0.004127063,0.044310335,0.0074070767,0.0057820156,0.00398863,0.0031298385,0.018895801,Non-African
9,213,buheti,14,0,4,24,"GreaterAfrican,Africans",0.00086019386,0.000405799,0.34775525,0.40759772,0.06490863,0.02869747,0.017497439,0.0064872657,0.05027511,0.002053573,0.012114987,0.058730774,0.0026157598,African
10,201,bottrop-kirchhellen,13,0,3,57,"GreaterEuropean,WestEuropean,Nordic",0.00028345213,0.0010604421,0.00013443056,0.00031780786,0.0003029555,0.0076049743,0.0005277146,0.00045275158,0.005828976,0.004275447,0.0011483497,0.02637679,0.9516859,Non-African
