,index,surname,count,"Asian,GreaterEastAsian,EastAsian","Asian,GreaterEastAsian,Japanese","Asian,IndianSubContinent","GreaterAfrican,Africans","GreaterAfrican,Muslim","GreaterEuropean,British","GreaterEuropean,EastEuropean","GreaterEuropean,Jewish","GreaterEuropean,WestEuropean,French","GreaterEuropean,WestEuropean,Germanic","GreaterEuropean,WestEuropean,Hispanic","GreaterEuropean,WestEuropean,Italian","GreaterEuropean,WestEuropean,Nordic",race,african
0,391,hicks,70,0.007984906,0.010686504,0.0074529825,0.0058137015,0.0029434308,1.7646023,0.0041147643,0.03265263,0.08199415,0.007478347,0.054940388,0.009803356,0.009532591,"GreaterEuropean,British",Non-African
1,556,macron,37,0.069733486,0.031838465,0.0069329636,0.11171992,0.014282215,1.9969497,0.017636552,0.062631354,0.51975214,0.01073569,0.028256966,0.12308838,0.0064422525,"GreaterEuropean,British",Non-African
2,682,opoku,26,0.04526628,0.07970622,0.06791805,0.6698535,0.12443607,0.6819377,0.07252387,0.07823485,0.08091174,0.006529806,0.07570637,0.015744332,0.0012315125,"GreaterEuropean,British",African
3,955,zimmerer,25,0.014574917,0.011656565,0.07165587,0.03781928,0.012378234,0.9046657,0.040992532,0.43958598,0.40249455,0.61835825,0.14621031,0.26309842,0.036509298,"GreaterEuropean,British",Non-African
4,251,dunstone,24,0.0056278436,0.0002770873,0.0032566783,0.0007418056,0.0016537034,1.8069751,0.0009223278,0.023565678,0.028693516,0.005768729,0.024877751,0.08799074,0.0096490765,"GreaterEuropean,British",Non-African
5,914,walker,24,0.00457825,0.0032653254,0.06183092,0.012086528,0.026411302,2.563652,0.00947611,0.13254395,0.052869223,0.028497193,0.044141863,0.03378292,0.02686409,"GreaterEuropean,British",Non-African
6,893,victoria,23,0.009047067,0.023498146,0.02598322,0.004385233,0.008857278,0.13600351,0.034581583,0.02334387,0.053404216,0.006180337,0.062053297,0.61144775,0.0012144403,"GreaterEuropean,WestEuropean,Italian",Non-African
7,18,adjaye,21,0.009281014,0.0006227345,0.0009720887,0.62783754,0.045743402,0.14012459,0.001231065,0.015900992,0.11019455,0.013645658,0.025980633,0.002946808,0.005518856,"GreaterAfrican,Africans",African
8,550,maas,21,0.0013382368,0.005992348,0.020857027,0.0739908,0.03284287,0.045611206,0.09746197,0.19269475,0.10150032,1.3150662,0.03341653,0.0058623673,0.0733655,"GreaterEuropean,WestEuropean,Germanic",Non-African
9,668,ogundele,19,0.007695826,0.008206059,0.00090296345,1.2406275,0.004136409,0.52846617,0.0036300141,0.0655156,0.02163898,0.01203514,0.07415452,0.03018171,0.0028090612,"GreaterAfrican,Africans",African
10,65,awoyemi,19,5.1410174e-05,9.252181e-05,3.0326535e-05,1.9746761,0.019707516,0.0018842418,0.00028317992,0.00033845427,0.002451522,1.2837977e-05,0.00034397896,0.00011539908,1.2300798e-05,"GreaterAfrican,Africans",African
11,656,obaseki,18,0.0030955204,1.202233,0.00970038,0.6898747,0.0034093861,0.058971345,0.0011393318,0.0045688874,0.014095462,0.00036271653,0.0070367805,0.0054295757,8.3111045e-05,"Asian,GreaterEastAsian,Japanese",Non-African
12,260,ehikhamenor,18,0.07896158,0.008691483,1.0275061,0.39120752,0.032936033,0.020039782,0.068301216,0.06576921,0.15116188,0.021000946,0.008297929,0.068106785,0.058019616,"Asian,IndianSubContinent",Non-African
13,859,thomas,17,0.010164165,0.009215117,0.042494755,0.008363143,0.0038183306,2.6087809,0.003815142,0.033437453,0.14836448,0.013898682,0.09423855,0.016857535,0.0065518282,"GreaterEuropean,British",Non-African
14,359,gruetters,14,0.01775989,0.0033427367,0.004563763,0.0029555447,0.004397969,0.6472598,0.012517516,0.073593885,0.13829754,0.030929396,0.02564263,0.03245233,0.0062870644,"GreaterEuropean,British",Non-African
15,726,plankensteiner,14,0.0009951747,0.0047059907,0.0013815158,0.00058990304,0.0061182366,0.23200062,0.019725952,0.28704596,0.048795953,0.21246047,0.09504542,0.03971181,0.05142297,"GreaterEuropean,Jewish",Non-African
16,720,phillips,14,0.004379406,0.010676505,0.053133022,0.01885219,0.008005641,2.9850993,0.028438253,0.6187608,0.089914985,0.013337635,0.10740739,0.02874081,0.033254154,"GreaterEuropean,British",Non-African
17,546,luschan,13,0.016577758,0.0061087473,0.006635044,0.006266908,0.009657679,0.41445068,0.016728634,0.6878587,0.22455354,0.18991314,0.32237282,0.0876536,0.011222908,"GreaterEuropean,Jewish",Non-African
18,311,francis,13,0.00454227,0.0013979926,0.018436555,0.04834244,0.039941028,1.4511691,0.010937662,0.10603355,0.1975237,0.01198714,0.016404679,0.08589705,0.007386697,"GreaterEuropean,British",Non-African
19,616,museen,13,0.17306222,0.071688764,0.09396034,0.43390566,0.23977473,0.37201118,0.01273151,0.12979369,0.18385075,0.1182505,0.026267258,0.0326231,0.112080425,"GreaterAfrican,Africans",African
20,362,grutters,12,0.051112972,0.016110709,0.010447537,0.003350895,0.010011636,1.4065585,0.038915783,0.09477173,0.10492805,0.06375016,0.042238254,0.13778304,0.020020721,"GreaterEuropean,British",Non-African
21,108,bini,12,0.01061067,0.004629684,0.042103957,0.022841519,0.020323982,0.01595994,0.0034500817,0.01131515,0.06532093,0.0009507756,0.03123216,0.7636161,0.007645167,"GreaterEuropean,WestEuropean,Italian",Non-African
22,791,sarr,11,0.0044688843,0.0060257227,0.009379407,0.005735048,0.08446575,0.55691695,0.013756325,0.09626759,0.12978278,0.022507992,0.043158956,0.01752398,0.010010643,"GreaterEuropean,British",African
23,890,verlag,10,0.015269955,0.02131222,0.067033626,0.070283055,0.038424145,4.2569556,0.30534458,0.7488803,0.8559223,0.7968005,0.4131832,0.22488803,0.18570219,"GreaterEuropean,British",Non-African
24,908,von luschan,10,0.0044433596,0.00916463,0.00048337175,0.0007488965,0.0016703935,0.015111208,0.11815181,0.03822422,0.028754478,0.7346662,0.017069869,0.017670969,0.013840526,"GreaterEuropean,WestEuropean,Germanic",Non-African
25,517,layiwola,10,0.0010863898,0.00063492084,0.02977824,1.5721067,0.19946313,0.077413134,0.015178612,0.009904496,0.04985162,0.0014632404,0.01942375,0.022815095,0.0008807604,"GreaterAfrican,Africans",African
26,818,snoep,10,0.011454577,0.0027715047,0.005231369,0.008639368,0.014644986,0.534444,0.06698048,0.27700567,0.24380702,0.13001336,0.060419433,0.59691256,0.0476757,"GreaterEuropean,WestEuropean,Italian",Non-African
27,706,parzinger,10,0.006432501,0.007795439,0.03582348,0.012912829,0.023598775,0.53353745,0.026393017,0.6062355,0.11454984,0.2473738,0.081572905,0.2535231,0.050251402,"GreaterEuropean,Jewish",Non-African
28,146,burton,9,0.008058177,0.0013665496,0.00077536976,0.0022042945,0.0016017142,0.92112887,0.0018873895,0.025924657,0.021656983,0.00073956314,0.007620897,0.004935274,0.0021003236,"GreaterEuropean,British",Non-African
