,author,count,surname,race,"Asian,GreaterEastAsian,EastAsian","Asian,GreaterEastAsian,Japanese","Asian,IndianSubContinent","GreaterAfrican,Africans","GreaterAfrican,Muslim","GreaterEuropean,British","GreaterEuropean,EastEuropean","GreaterEuropean,Jewish","GreaterEuropean,WestEuropean,French","GreaterEuropean,WestEuropean,Germanic","GreaterEuropean,WestEuropean,Hispanic","GreaterEuropean,WestEuropean,Italian","GreaterEuropean,WestEuropean,Nordic",african
392,f shyllon,16,shyllon,"GreaterEuropean,British",0.008621999,0.0010877287,0.006635435,0.0020807069,8.110223e-05,0.9457285,0.0011859281,0.003937417,0.022419296,0.00018204113,0.006528333,0.00075563084,0.00075589,African
617,k siehr,9,siehr,"GreaterEuropean,Jewish",0.0013678791,0.00028721275,0.0017928747,0.033065602,0.012103849,0.096788324,0.23506962,0.28874624,0.01335412,0.24430647,0.0020530566,0.0076779304,0.06338688,Non-African
558,jar nafziger,5,nafziger,"GreaterEuropean,WestEuropean,Germanic",0.0014932362,0.0021839696,0.09149617,0.018952819,0.1340263,0.027899573,0.024926247,0.26687637,0.04844476,0.2967308,0.033851475,0.014454347,0.038663942,Non-African
534,j nevadomsky,5,nevadomsky,"GreaterEuropean,EastEuropean",0.00034815632,0.00012241086,0.0001862064,0.00024806632,0.0004921142,0.009020495,0.82709485,0.14402984,0.009507677,0.0008365502,0.006997546,0.0008690608,0.00024701885,Non-African
214,c renfrew,4,renfrew,"GreaterEuropean,British",0.0096112685,0.0045248657,0.00893524,0.01338253,0.0012825746,0.6282208,0.016768582,0.057327766,0.18383315,0.00641988,0.03163028,0.03477336,0.0032896753,Non-African
514,j cuno,4,cuno,"GreaterEuropean,WestEuropean,Hispanic",0.0056292424,0.045515947,0.020328676,0.009513354,0.01651142,0.025979945,0.005381087,0.01863057,0.14010672,0.0054821195,0.4474442,0.2580946,0.001382102,Non-African
666,l witz,4,witz,"GreaterEuropean,Jewish",0.0016786894,0.008070575,0.0015807365,0.0023697438,0.0020389638,0.0578759,0.0955844,0.47176328,0.07371328,0.14822784,0.044534545,0.009192235,0.08336979,African
680,lv prott,4,prott,"GreaterEuropean,British",0.00577829,0.0037104553,0.0146555,0.0018007242,0.0019016953,0.89101946,0.0070063416,0.026892463,0.022093633,0.0014486567,0.010223317,0.010323643,0.0031457508,Non-African
415,g minkley,4,minkley,"GreaterEuropean,British",0.0048309905,0.0008998654,0.015845096,0.0036057457,0.0006028634,0.8986516,0.0028678875,0.03268846,0.024032563,0.0038295814,0.005170783,0.006217521,0.00075696886,Non-African
371,f bodenstein,4,bodenstein,"GreaterEuropean,Jewish",0.0019019247,0.0006331151,0.0005663942,7.814424e-05,0.0054754512,0.06431488,0.045904215,0.8482495,0.0054191747,0.016805835,0.007106259,0.0007235789,0.0028215304,Non-African
281,d lowenthal,4,lowenthal,"GreaterEuropean,British",0.0013592287,0.0010626923,0.04178379,0.00616926,0.0360423,0.6815454,0.012497487,0.14916919,0.030771239,0.011222293,0.019169725,0.006555292,0.0026521136,Non-African
213,c rassool,4,rassool,"GreaterAfrican,Muslim",0.00093435054,0.000868665,0.12866016,0.013040565,0.67837936,0.07963153,0.004105597,0.062100623,0.0091042435,0.007320738,0.0064060353,0.0020983259,0.007349804,African
154,b savoy,4,savoy,"GreaterEuropean,WestEuropean,French",0.0011586231,0.0009321681,0.009509779,0.14914814,0.19961368,0.035345946,0.033732727,0.039651807,0.49258417,0.0007662692,0.028464437,0.0088163195,0.00027588254,Non-African
1017,t ojaide,3,ojaide,"Asian,IndianSubContinent",0.0077959537,0.004376952,0.24285741,0.07431822,0.14980751,0.14190854,0.005594027,0.0260445,0.045774598,0.025530495,0.23685381,0.016855767,0.022282086,African
633,l amineddoleh,3,amineddoleh,"GreaterAfrican,Muslim",0.0006270017,0.0028245472,0.004862672,0.24305719,0.4557104,0.09280055,0.019717734,0.03812719,0.008964548,0.032775354,0.0052522267,0.07249475,0.022785818,African
308,e barkan,3,barkan,"GreaterAfrican,Muslim",0.0072252136,0.000796179,0.21122162,0.005969866,0.29844773,0.2363333,0.014832535,0.10168683,0.062039327,0.009734395,0.024175573,0.011867677,0.015669791,African
833,p davis,3,davis,"GreaterEuropean,British",0.0040835366,0.0019602927,0.008234087,0.014621973,0.0019419867,0.6946605,0.005073409,0.19544539,0.03181029,0.0022935166,0.025426233,0.012059651,0.0023891618,Non-African
782,n brodie,3,brodie,"GreaterEuropean,British",0.0023137387,0.0013856383,0.0017848846,0.0127384225,0.0014733692,0.5808341,0.0133178,0.082252845,0.10021319,0.011309999,0.16968322,0.016828157,0.0058646523,Non-African
724,m mugabowagahunde,3,mugabowagahunde,"GreaterAfrican,Africans",0.0002484952,0.00011955882,0.009487784,0.9787587,0.00017737536,0.010724581,2.8073639e-05,6.912272e-05,0.0002636144,2.5154439e-05,4.3604672e-05,3.8972634e-05,1.5037042e-05,African
624,ka appiah,3,appiah,"GreaterAfrican,Africans",0.0007836017,0.00042778673,0.18287873,0.53001255,0.069939,0.028157761,0.0027611454,0.13859099,0.006906782,0.003271119,0.008042686,0.01724418,0.010983604,African
865,p verger,3,verger,"GreaterEuropean,Jewish",0.0061529386,0.0027226987,0.00086846907,0.004494767,0.010676726,0.15142864,0.024163308,0.33768883,0.08308521,0.19686623,0.084707014,0.049048636,0.04809652,Non-African
4,a apter,3,apter,"GreaterEuropean,Jewish",0.003181261,0.001068824,0.019037582,0.034564544,0.09954363,0.13568811,0.02212664,0.56777674,0.049407028,0.016369086,0.02105272,0.014756855,0.015426906,Non-African
602,k hill,3,hill,"GreaterEuropean,British",0.00579894,0.0039703767,0.003528761,0.0014477994,0.0017449852,0.94141495,0.0029215354,0.017697478,0.009555053,0.0008075577,0.007756613,0.0010078003,0.0023481061,Non-African
1073,z liu,3,liu,"Asian,GreaterEastAsian,EastAsian",0.9852519,0.0033176625,0.0003551957,0.0013382427,0.0003930018,0.0011191987,0.00055650354,0.00040219515,0.00031266655,0.00017448247,0.00021013252,0.005909662,0.00065915723,Non-African
1,a adewumi,3,adewumi,"GreaterAfrican,Africans",0.00046945864,0.00033338944,0.018941661,0.7527079,0.08191787,0.09505267,0.002090231,0.011594756,0.00893483,0.014005165,0.002798678,0.010461701,0.00069165556,African
569,jh merryman,3,merryman,"GreaterEuropean,Jewish",0.0009911266,0.001219395,0.0016655426,0.00091283105,0.0039259247,0.40755382,0.031399854,0.4441439,0.039990135,0.005667056,0.052560914,0.009258614,0.00071086397,Non-African
550,j van beurden,3,van beurden,"GreaterEuropean,WestEuropean,Germanic",0.0004790999,0.003586156,0.0005202545,0.0014598991,8.017589e-05,0.054024555,0.001439765,0.004781728,0.10267146,0.7900307,0.020703804,0.016056985,0.004165369,Non-African
857,p probst,3,probst,"GreaterEuropean,British",0.003407493,0.002822272,0.0047033224,0.0015480224,0.0028655175,0.666081,0.067313686,0.08737085,0.0929701,0.02149757,0.014251921,0.0036271533,0.03154116,Non-African
323,e ficquet,3,ficquet,"GreaterEuropean,WestEuropean,French",0.0010073757,7.617381e-05,3.5465353e-05,0.00036014666,0.00018003529,0.036145024,0.00042605368,0.001750594,0.941086,0.0005935465,0.013971375,0.0040844246,0.0002837408,Non-African
