,surname,count,"Asian,GreaterEastAsian,EastAsian","Asian,GreaterEastAsian,Japanese","Asian,IndianSubContinent","GreaterAfrican,Africans","GreaterAfrican,Muslim","GreaterEuropean,British","GreaterEuropean,EastEuropean","GreaterEuropean,Jewish","GreaterEuropean,WestEuropean,French","GreaterEuropean,WestEuropean,Germanic","GreaterEuropean,WestEuropean,Hispanic","GreaterEuropean,WestEuropean,Italian","GreaterEuropean,WestEuropean,Nordic",race,african
0,hawass,199,0.0968286,0.16769871,0.5846445,1.3879468,2.743331,3.0316792,0.020647734,1.1717315,0.08324552,0.07855807,0.17884138,0.24223498,0.21261209,"GreaterEuropean,British",African
1,merryman,145,0.006122916,0.0066559413,0.008225554,0.005502537,0.017210487,1.9817845,0.15069565,2.305471,0.18231587,0.042635895,0.23825115,0.05055745,0.004571126,"GreaterEuropean,Jewish",Non-African
2,borchardt,92,0.0789928,0.03447245,0.006161421,0.008260708,0.013613781,0.87656933,0.06771179,0.187308,0.5838833,0.37598786,0.4692567,0.088215895,0.20956615,"GreaterEuropean,British",Non-African
3,macron,90,0.069733486,0.031838465,0.0069329636,0.11171992,0.014282215,1.9969497,0.017636552,0.062631354,0.51975214,0.01073569,0.028256966,0.12308838,0.0064422525,"GreaterEuropean,British",Non-African
4,hitler,63,0.016271919,0.014807607,0.023424255,0.017424487,0.010534061,2.1123662,0.031195711,0.51380885,0.08736141,0.03557247,0.10694291,0.018069558,0.012220756,"GreaterEuropean,British",Non-African
5,laroze,59,0.0024060903,0.0028578956,0.0010131246,0.05727379,0.040784266,0.019240052,0.07309131,0.071033336,0.62982666,0.0062352153,0.06805518,0.027455214,0.000727867,"GreaterEuropean,WestEuropean,French",Non-African
6,denon,47,0.011781715,0.012619189,0.36374226,0.055014133,0.03774426,1.2916088,0.13100821,0.42466748,2.4292817,0.022705106,0.05428834,0.1484749,0.017064117,"GreaterEuropean,WestEuropean,French",Non-African
7,bonaparte,42,0.0032014176,0.0013048272,0.013013733,0.003924242,0.0025011082,0.1022375,0.0028884665,0.017653931,4.727966,0.012040404,0.26516378,2.8299115,0.018192952,"GreaterEuropean,WestEuropean,French",Non-African
8,wildung,41,3.1687622,0.027897451,0.0089817215,0.025508774,0.012946395,1.3215556,0.03156103,0.011853458,0.054327603,0.0067137387,0.14104533,0.0056125745,0.18323423,"Asian,GreaterEastAsian,EastAsian",Non-African
9,simon,36,0.04147246,0.0460592,0.043284677,0.2172443,0.04627455,0.3933801,0.15257771,1.9617438,1.8145168,0.005858813,0.10621891,0.14731826,0.024050668,"GreaterEuropean,Jewish",Non-African
10,francis,34,0.00454227,0.0013979926,0.018436555,0.04834244,0.039941028,1.4511691,0.010937662,0.10603355,0.1975237,0.01198714,0.016404679,0.08589705,0.007386697,"GreaterEuropean,British",Non-African
11,mubarak,34,0.0065978477,0.003456615,1.9043121,0.068472706,0.64862394,0.021253955,0.07333719,0.19632733,0.036235243,0.012538666,0.0051934537,0.0041218824,0.019528935,"Asian,IndianSubContinent",African
12,opoku,32,0.06789942,0.119559325,0.101877056,1.0047802,0.18665412,1.0229065,0.10878579,0.11735227,0.12136762,0.00979471,0.11355956,0.0236165,0.001847269,"GreaterEuropean,British",African
13,cuno,30,0.016887732,0.13654782,0.060986042,0.02854007,0.049534276,0.07793985,0.016143268,0.05589172,0.42032015,0.01644636,1.3423325,0.7742838,0.004146305,"GreaterEuropean,WestEuropean,Hispanic",Non-African
14,waxman,30,0.013836749,0.01814194,0.11223255,0.015538585,0.031628076,0.4130343,0.15550104,1.0763829,0.03066645,0.089029245,0.031124404,0.011316605,0.0015672026,"GreaterEuropean,Jewish",Non-African
15,stierlin,29,0.025288373,0.0046567162,0.0008820589,0.013631644,0.00593005,0.5706272,0.5797865,0.29064646,0.3006057,0.045707833,0.033648543,0.082628705,0.04596032,"GreaterEuropean,EastEuropean",Non-African
16,cho,28,0.788975,0.008209837,0.003953339,0.021982148,0.001457675,0.032960728,0.006478948,0.006743455,0.024014693,0.011597258,0.011067421,0.07640793,0.0061515905,"Asian,GreaterEastAsian,EastAsian",Non-African
17,saint-hilaire,27,0.021833804,0.008835073,0.009002329,0.025648715,0.0032326523,0.50626516,0.0052212384,0.018015599,0.19502273,0.000462858,0.111878924,0.09422006,0.00036077338,"GreaterEuropean,British",Non-African
18,lelorrain,27,0.00011826839,0.00024491947,0.0011510608,0.0006169595,0.006786125,0.056147344,0.0003844326,0.02751705,2.7191398,0.011708058,0.16407517,0.011122904,0.0009875942,"GreaterEuropean,WestEuropean,French",Non-African
19,young,25,0.2438111,0.0022813946,0.00984108,0.010926418,0.010964784,5.498805,0.0126086455,0.09655215,0.04059275,0.005531075,0.045930617,0.009717461,0.012437314,"GreaterEuropean,British",Non-African
20,lens,25,0.007614471,0.0030836181,0.016475672,0.0012226854,0.0037832297,0.72960955,0.022755207,0.105731055,0.023821006,0.04598681,0.023757912,0.0033719544,0.012786766,"GreaterEuropean,British",Non-African
21,bruce,25,0.018316211,0.009247079,0.015926989,0.006880157,0.048412893,1.5055747,0.025000397,0.09427741,0.13733475,0.023430802,0.038301922,0.050968245,0.026328398,"GreaterEuropean,British",Non-African
22,cook,24,0.019372096,0.0037935164,0.00734802,0.011773224,0.0055814814,3.8765485,0.0012304028,0.02409793,0.014030865,0.004742167,0.013107154,0.017359382,0.0010149067,"GreaterEuropean,British",Non-African
23,michelangelo,24,0.0014714658,0.0009904215,0.14747581,0.8949169,0.0031246827,0.18962994,0.007334876,0.02550755,0.25329518,0.0105851665,0.32172772,1.1418545,0.002085688,"GreaterEuropean,WestEuropean,Italian",Non-African
24,wing,23,1.8447436,0.0061507053,0.0023287772,0.016962174,0.019197954,1.2876236,0.13539833,0.34780496,0.05007978,0.09163503,0.072697364,0.009417437,0.11596056,"Asian,GreaterEastAsian,EastAsian",Non-African
25,law,23,0.94749916,0.015919505,0.056788787,0.018269965,0.05169046,1.4528699,0.05944118,0.07516682,0.1097049,0.0074449237,0.014561892,0.080392525,0.11025007,"GreaterEuropean,British",Non-African
26,wenman,22,0.07559819,0.017105518,0.004949604,0.01872012,0.0017661098,0.5237809,0.014418467,1.0937897,0.13964336,0.023432696,0.027777746,0.036237195,0.022780577,"GreaterEuropean,Jewish",Non-African
27,josefowicz,22,0.0022685295,0.0002928203,0.001170753,0.0033380445,0.0022329567,0.45925373,1.7416534,0.6715527,0.02509902,0.014087038,0.053705346,0.024206406,0.0011393386,"GreaterEuropean,EastEuropean",Non-African
28,robertson,22,0.0035400614,0.012479855,0.0042768866,0.009562725,0.00041940258,2.5901265,0.028714113,0.099684164,0.062636666,0.0025714985,0.013219725,0.038166657,0.13460189,"GreaterEuropean,British",Non-African
29,carter,21,0.00602227,0.006364486,0.010613015,0.0063233282,0.011031024,2.6032996,0.014712235,0.17969583,0.10231671,0.009302573,0.015388728,0.026155356,0.008774981,"GreaterEuropean,British",Non-African
30,salt,21,0.0058284244,0.0009219761,0.060182624,0.011809654,0.13292803,0.38574916,0.046683725,0.05411254,0.9727799,0.04358832,0.042394787,0.18061781,0.062403057,"GreaterEuropean,WestEuropean,French",Non-African
31,elgin,21,0.00087522937,0.0022213068,0.0025035897,0.0077523324,0.42517224,0.14588577,0.38426727,0.85518354,0.07357621,0.019488553,0.027676322,0.03161257,0.023785016,"GreaterEuropean,Jewish",Non-African
