,author,count,surname,race,"Asian,GreaterEastAsian,EastAsian","Asian,GreaterEastAsian,Japanese","Asian,IndianSubContinent","GreaterAfrican,Africans","GreaterAfrican,Muslim","GreaterEuropean,British","GreaterEuropean,EastEuropean","GreaterEuropean,Jewish","GreaterEuropean,WestEuropean,French","GreaterEuropean,WestEuropean,Germanic","GreaterEuropean,WestEuropean,Hispanic","GreaterEuropean,WestEuropean,Italian","GreaterEuropean,WestEuropean,Nordic",african
694,jl martinez,25,martinez,"GreaterEuropean,WestEuropean,Hispanic",0.0017350303,0.009994249,0.014801802,0.0015889922,0.0039905775,0.15676425,0.0060468484,0.0231836,0.2968729,0.0035639356,0.37034604,0.10933809,0.0017736306,Non-African
949,ml de rochebrune,25,de rochebrune,"GreaterEuropean,WestEuropean,French",0.00020112918,0.00035410063,0.0001595043,0.00028978346,0.0016511027,0.07919818,0.0010881769,0.0045682215,0.867,0.0031395731,0.038033288,0.003004706,0.0013122289,Non-African
748,k siehr,15,siehr,"GreaterEuropean,Jewish",0.0013678791,0.00028721275,0.0017928747,0.033065602,0.012103849,0.096788324,0.23506962,0.28874624,0.01335412,0.24430647,0.0020530566,0.0076779304,0.06338688,Non-African
1060,prm du louvre,14,du louvre,"GreaterEuropean,WestEuropean,French",0.00013186359,3.788111e-05,0.00071933446,0.00046268193,0.00013228957,0.02813122,4.9039943e-05,0.00052016316,0.94834787,0.00039397637,0.0018934984,0.017581344,0.0015988267,Non-African
768,kg siehr,8,siehr,"GreaterEuropean,Jewish",0.0013678791,0.00028721275,0.0017928747,0.033065602,0.012103849,0.096788324,0.23506962,0.28874624,0.01335412,0.24430647,0.0020530566,0.0076779304,0.06338688,Non-African
1121,rk paterson,7,paterson,"GreaterEuropean,British",0.00060785154,0.00056872313,0.0017326925,0.002257622,0.00024064323,0.9378342,0.0005953222,0.0085832225,0.025669988,0.000989179,0.0067801755,0.010287861,0.0038524366,Non-African
272,d fincham,6,fincham,"GreaterEuropean,British",0.03459349,0.0013132411,0.011503017,0.011549448,0.0031098723,0.6878641,0.005469412,0.12984611,0.05433501,0.016995106,0.03300094,0.0065514627,0.0038688444,Non-African
652,jar nafziger,6,nafziger,"GreaterEuropean,WestEuropean,Germanic",0.0014932362,0.0021839696,0.09149617,0.018952819,0.1340263,0.027899573,0.024926247,0.26687637,0.04844476,0.2967308,0.033851475,0.014454347,0.038663942,Non-African
117,ar le sage,5,le sage,"GreaterEuropean,WestEuropean,French",0.0009276275,0.0009684989,0.00244613,0.00028120354,0.001840446,0.25484818,0.0006270922,0.014594927,0.6739582,0.0016773009,0.016475562,0.029932385,0.0014223928,Non-African
573,j cuno,5,cuno,"GreaterEuropean,WestEuropean,Hispanic",0.0056292424,0.045515947,0.020328676,0.009513354,0.01651142,0.025979945,0.005381087,0.01863057,0.14010672,0.0054821195,0.4474442,0.2580946,0.001382102,Non-African
1023,p gerstenblith,5,gerstenblith,"GreaterEuropean,WestEuropean,Germanic",0.002871985,0.00047031243,0.0002060459,0.0030226654,0.0007035901,0.01379042,0.06470213,0.104306705,0.036000546,0.73996437,0.007059904,0.015740037,0.01116128,Non-African
483,gr gliddon,4,gliddon,"GreaterEuropean,British",0.001711616,0.0009941948,0.00027349,0.014885656,0.00038228137,0.9450103,0.00086640066,0.009545699,0.011970357,0.00015623153,0.006342103,0.006516073,0.0013456658,Non-African
638,j van beurden,4,van beurden,"GreaterEuropean,WestEuropean,Germanic",0.0004790999,0.003586156,0.0005202545,0.0014598991,8.017589e-05,0.054024555,0.001439765,0.004781728,0.10267146,0.7900307,0.020703804,0.016056985,0.004165369,Non-African
816,l tythacott,4,tythacott,"GreaterEuropean,British",0.0022569136,0.003194673,0.0040953183,0.0014202907,0.0014628713,0.9544966,0.0033939192,0.011115562,0.008542134,0.00030049708,0.005223804,0.0030450209,0.0014523386,Non-African
880,m hofland,4,hofland,"GreaterEuropean,WestEuropean,Nordic",6.127908e-05,7.2186784e-05,1.4957156e-05,7.148179e-05,9.803153e-05,0.0013746961,0.0003376934,0.00055112876,0.0005473963,0.0014286183,0.0005857949,0.00031081086,0.99454594,Non-African
609,j neu,4,neu,"GreaterEuropean,WestEuropean,Hispanic",0.12850742,0.02469652,0.004871777,0.01498473,0.0053375475,0.106510654,0.014945216,0.010933777,0.112230316,0.021648973,0.4551522,0.09946355,0.00071731966,Non-African
408,f mairesse,4,mairesse,"GreaterEuropean,WestEuropean,French",0.00041590017,0.00032366376,0.017895797,0.09989006,0.004284433,0.07729316,0.0005918542,0.010918913,0.7468145,0.002761371,0.014974994,0.021754308,0.0020809728,Non-African
332,dm reid,4,reid,"GreaterEuropean,British",0.024127971,0.0058753327,0.006413706,0.00781311,0.11751204,0.56406504,0.009529033,0.057344094,0.006181787,0.027209714,0.019711616,0.0038410577,0.15037556,Non-African
284,d lowenthal,4,lowenthal,"GreaterEuropean,British",0.0013592287,0.0010626923,0.04178379,0.00616926,0.0360423,0.6815454,0.012497487,0.14916919,0.030771239,0.011222293,0.019169725,0.006555292,0.0026521136,Non-African
965,mw apple,4,apple,"GreaterEuropean,British",0.00071305246,0.00186405,0.07512706,0.03145583,0.023483196,0.5793111,0.0069761225,0.19085164,0.030216819,0.009153339,0.03435179,0.010932121,0.0055639055,Non-African
186,c antzelevitch,4,antzelevitch,"GreaterEuropean,Jewish",0.00092059444,0.0006494482,0.00020426112,0.0009751576,0.0034016746,0.044928446,0.12901498,0.610682,0.10253501,0.015254097,0.068444036,0.016428016,0.006562223,Non-African
447,g kolodziejzyk,3,kolodziejzyk,"GreaterEuropean,EastEuropean",0.00037388006,2.0022073e-05,1.185811e-06,0.0002932032,0.00017371548,0.00031248844,0.99545825,0.00058574066,0.0004316885,4.742875e-05,0.00014261277,6.6244866e-05,0.002093512,Non-African
856,m chinushi,3,chinushi,"Asian,GreaterEastAsian,Japanese",0.0452854,0.814269,0.0022121917,0.035720564,0.05937711,0.008892011,0.0043674572,0.00906995,0.004043595,0.00024023706,0.0060825297,0.010080981,0.0003589596,Non-African
176,bj roche,3,roche,"GreaterEuropean,WestEuropean,French",0.016859492,0.0006467521,0.0021453588,0.011736655,0.002744872,0.10893855,0.007220724,0.015035935,0.39922687,0.0034982965,0.3602772,0.057514973,0.014154215,Non-African
1305,vp neofotistos,3,neofotistos,"GreaterEuropean,WestEuropean,Hispanic",0.010257751,0.024402292,0.007939255,0.041148398,0.020928325,0.16924767,0.016222587,0.03738035,0.012816825,0.034602452,0.4070643,0.17511919,0.042870704,Non-African
908,m tagawa,3,tagawa,"Asian,GreaterEastAsian,Japanese",0.0010157042,0.99610114,7.454172e-05,0.0015508014,5.0949275e-05,0.00070305745,1.7988265e-05,2.8465001e-05,9.1205875e-05,9.975525e-07,0.00022817076,0.0001355395,1.3876512e-06,Non-African
1042,p soirila,3,soirila,"GreaterEuropean,WestEuropean,Hispanic",0.002386498,0.075418666,0.010515521,0.063937,0.016176721,0.02073932,0.007732203,0.114211954,0.049163803,0.0035950488,0.45159775,0.18151335,0.003012106,Non-African
1295,v kynourgiopoulou,3,kynourgiopoulou,"GreaterAfrican,Africans",9.9140285e-05,4.3013024e-06,0.0010581157,0.7921057,0.10769138,0.0013608339,0.030583158,0.002191451,0.06184954,0.00019401769,0.002557604,0.00024089447,6.3972e-05,African
947,mj versluys,3,versluys,"GreaterEuropean,British",0.0010592632,0.00012550119,0.013907132,0.00137681,0.0064339694,0.5629583,0.020028342,0.12880586,0.21512285,0.025515478,0.010229442,0.0043507665,0.010086252,Non-African
1246,t jenkins,3,jenkins,"GreaterEuropean,British",0.0028742396,0.007804939,0.003888312,0.0006778643,0.0007881168,0.93670934,0.00065828365,0.00911092,0.011700606,0.008445689,0.010900711,0.0025598684,0.003881282,Non-African
1072,r christofoletti,3,christofoletti,"GreaterEuropean,WestEuropean,Italian",0.00040084013,0.00039606102,0.0014988991,0.00035544945,0.0020971817,0.0464317,0.012572946,0.013546698,0.10002692,0.0050991443,0.30844966,0.50385123,0.005273308,Non-African
641,j warring,3,warring,"GreaterEuropean,British",0.003998337,0.0015080825,0.005336469,0.0040007853,0.0030621537,0.90970963,0.004730903,0.01619602,0.0067320764,0.002531408,0.017043477,0.000863189,0.024287546,Non-African
747,k price,3,price,"GreaterEuropean,British",0.0013547703,0.00097391615,0.0029753428,0.002347026,0.0019656431,0.93629086,0.0024219374,0.007690166,0.015451443,0.0008593817,0.008209949,0.018522495,0.00093706924,Non-African
301,d scavitto,3,scavitto,"GreaterEuropean,WestEuropean,Italian",0.0005746732,0.0015437971,0.004721834,0.0034471021,0.0015120219,0.091822825,0.002615157,0.07836905,0.055470847,0.016205221,0.09297336,0.6486145,0.0021296344,Non-African
1278,tn tavaras,3,tavaras,"GreaterEuropean,WestEuropean,Hispanic",0.0017993671,0.0017070933,0.04873992,0.012738809,0.040378142,0.016312996,0.019047374,0.15974148,0.058470197,0.0033268554,0.5882835,0.04882004,0.0006342443,Non-African
721,jw ellis,3,ellis,"GreaterEuropean,British",0.00056004885,0.0012455693,0.0011632653,0.009850301,0.0017190775,0.9249558,0.001645955,0.037158128,0.0077087656,0.0031435569,0.0058060796,0.0032538048,0.0017897121,Non-African
742,k mclaughlin,3,mclaughlin,"GreaterEuropean,British",0.0015838232,7.640131e-05,0.00014665602,0.0038993086,2.0732181e-05,0.8710007,0.00012698874,0.0002613245,0.1157517,0.00041115072,0.0022866575,0.0021759872,0.0022584873,Non-African
476,gf mcconnell,3,mcconnell,"GreaterEuropean,British",0.004334644,0.0035888369,0.0003107198,0.0005273521,0.00021190602,0.97666556,0.00014836772,0.003281786,0.0056694583,0.00015209662,0.0034657547,0.00072555494,0.0009177741,Non-African
973,n brodie,3,brodie,"GreaterEuropean,British",0.0023137387,0.0013856383,0.0017848846,0.0127384225,0.0014733692,0.5808341,0.0133178,0.082252845,0.10021319,0.011309999,0.16968322,0.016828157,0.0058646523,Non-African
820,l zinkow,3,zinkow,"GreaterEuropean,Jewish",0.0030447238,0.00533112,0.00422295,0.008751224,0.0059582535,0.042932678,0.13124569,0.6742247,0.020051638,0.050686806,0.013038847,0.013282688,0.027228761,Non-African
1015,p brett,3,brett,"GreaterEuropean,British",0.007411987,0.0038640306,0.0070560714,0.0061870283,0.0041496647,0.77939826,0.012557515,0.107952274,0.028662438,0.005324983,0.017965818,0.0064593614,0.013010656,Non-African
879,m hilgert,3,hilgert,"GreaterEuropean,WestEuropean,Germanic",0.011521932,0.0049180975,0.0005531393,0.001319311,0.0064182845,0.18231578,0.037513267,0.0884955,0.081076525,0.33819148,0.08279197,0.010264037,0.15462072,Non-African
877,m hanna,3,hanna,"GreaterAfrican,Muslim",0.03328281,0.105788,0.0534683,0.031854328,0.23855025,0.17442572,0.020115074,0.025459668,0.050216407,0.023830285,0.014566543,0.087184,0.14125867,African
133,b damian,3,damian,"Asian,GreaterEastAsian,EastAsian",0.57575315,0.009536445,0.018289363,0.04984093,0.036694646,0.045867004,0.016240548,0.058207486,0.08180434,0.0037649178,0.06721747,0.028616462,0.008167267,Non-African
213,c kishimoto,3,kishimoto,"Asian,GreaterEastAsian,Japanese",0.009506187,0.98993194,1.8703498e-06,8.9515226e-05,8.736754e-06,2.1086154e-05,7.228974e-06,7.9515985e-06,1.28329175e-05,4.3484533e-06,0.00012543231,0.00027645275,6.3347384e-06,Non-African
1156,s franses,2,franses,"GreaterEuropean,WestEuropean,Hispanic",0.0076230923,0.002404189,0.017351298,0.0042063165,0.003991765,0.2166479,0.01699874,0.21620801,0.12537794,0.04610828,0.29170448,0.010898702,0.040479317,Non-African
900,m phillips,2,phillips,"GreaterEuropean,British",0.0010948515,0.0026691263,0.0132832555,0.0047130473,0.0020014104,0.7462748,0.0071095633,0.1546902,0.022478746,0.0033344089,0.026851848,0.0071852026,0.0083135385,Non-African
841,m ackermann,2,ackermann,"GreaterEuropean,WestEuropean,Germanic",0.016139217,0.002050771,0.001222391,0.004042677,0.0013225394,0.06919768,0.06135268,0.22014238,0.042483762,0.49840224,0.033077206,0.008538033,0.042028524,Non-African
1243,t hare,2,hare,"GreaterEuropean,British",0.0071847406,0.0045985454,0.003782449,0.019021036,0.011721712,0.8203182,0.0035622155,0.079324454,0.031020705,0.0027127175,0.006240226,0.0043555633,0.006157361,Non-African
960,mr martin,2,martin,"GreaterEuropean,British",0.001148714,0.001756666,0.023729002,0.0019233385,0.0025147737,0.70935464,0.008584293,0.008822321,0.19169068,0.0030757335,0.0153688975,0.026637487,0.0053934366,Non-African
1173,s mahmoud,2,mahmoud,"GreaterAfrican,Muslim",0.0013001201,0.00031848298,0.0047397357,0.05271763,0.6880516,0.0075107533,0.00082221266,0.0041736276,0.18503378,0.00079880975,0.0024014637,0.0009749646,0.05115682,African
