,author,count,surname,race
392,f shyllon,16,shyllon,"GreaterEuropean,British"
617,k siehr,9,siehr,"GreaterEuropean,Jewish"
558,jar nafziger,5,nafziger,"GreaterEuropean,WestEuropean,Germanic"
534,j nevadomsky,5,nevadomsky,"GreaterEuropean,EastEuropean"
214,c renfrew,4,renfrew,"GreaterEuropean,British"
514,j cuno,4,cuno,"GreaterEuropean,WestEuropean,Hispanic"
666,l witz,4,witz,"GreaterEuropean,Jewish"
680,lv prott,4,prott,"GreaterEuropean,British"
415,g minkley,4,minkley,"GreaterEuropean,British"
371,f bodenstein,4,bodenstein,"GreaterEuropean,Jewish"
281,d lowenthal,4,lowenthal,"GreaterEuropean,British"
213,c rassool,4,rassool,"GreaterAfrican,Muslim"
154,b savoy,4,savoy,"GreaterEuropean,WestEuropean,French"
1017,t ojaide,3,ojaide,"Asian,IndianSubContinent"
633,l amineddoleh,3,amineddoleh,"GreaterAfrican,Muslim"
308,e barkan,3,barkan,"GreaterAfrican,Muslim"
833,p davis,3,davis,"GreaterEuropean,British"
782,n brodie,3,brodie,"GreaterEuropean,British"
724,m mugabowagahunde,3,mugabowagahunde,"GreaterAfrican,Africans"
624,ka appiah,3,appiah,"GreaterAfrican,Africans"
865,p verger,3,verger,"GreaterEuropean,Jewish"
4,a apter,3,apter,"GreaterEuropean,Jewish"
602,k hill,3,hill,"GreaterEuropean,British"
1073,z liu,3,liu,"Asian,GreaterEastAsian,EastAsian"
1,a adewumi,3,adewumi,"GreaterAfrican,Africans"
569,jh merryman,3,merryman,"GreaterEuropean,Jewish"
550,j van beurden,3,van beurden,"GreaterEuropean,WestEuropean,Germanic"
857,p probst,3,probst,"GreaterEuropean,British"
323,e ficquet,3,ficquet,"GreaterEuropean,WestEuropean,French"
557,ja robinson,3,robinson,"GreaterEuropean,British"
217,c scott,3,scott,"GreaterEuropean,British"
222,c stahn,3,stahn,"GreaterEuropean,Jewish"
96,ae coombes,3,coombes,"GreaterEuropean,British"
257,d acemoglu,3,acemoglu,"GreaterEuropean,WestEuropean,Italian"
916,re howard-hassmann,3,howard-hassmann,"GreaterEuropean,WestEuropean,Germanic"
26,a gallay,3,gallay,"GreaterEuropean,WestEuropean,French"
877,r aldrich,3,aldrich,"GreaterEuropean,EastEuropean"
921,rk paterson,3,paterson,"GreaterEuropean,British"
218,c seignobos,2,seignobos,"GreaterEuropean,WestEuropean,Hispanic"
544,j stanyard,2,stanyard,"GreaterEuropean,British"
142,b lawal,2,lawal,"GreaterAfrican,Muslim"
464,h lebovics,2,lebovics,"GreaterEuropean,Jewish"
225,c trautmann-waller,2,trautmann-waller,"GreaterEuropean,WestEuropean,Germanic"
232,c wingfield,2,wingfield,"GreaterEuropean,British"
509,j blake,2,blake,"GreaterEuropean,British"
239,ci njoku,2,njoku,"GreaterAfrican,Africans"
491,i pezzini,2,pezzini,"GreaterEuropean,WestEuropean,Italian"
471,h tourneux,2,tourneux,"GreaterEuropean,WestEuropean,French"
240,cj spring,2,spring,"GreaterEuropean,British"
278,d hicks,2,hicks,"GreaterEuropean,British"
160,bca marcelino,2,marcelino,"GreaterEuropean,WestEuropean,Italian"
273,d frere,2,frere,"GreaterEuropean,British"
245,cm peng,2,peng,"Asian,GreaterEastAsian,EastAsian"
438,gj witkowski,2,witkowski,"GreaterEuropean,WestEuropean,Germanic"
182,c deliss,2,deliss,"GreaterEuropean,WestEuropean,French"
192,c ianniciello,2,ianniciello,"GreaterEuropean,WestEuropean,Italian"
391,f sarr,2,sarr,"GreaterEuropean,British"
379,f greenland,2,greenland,"GreaterEuropean,British"
195,c jeppesen,2,jeppesen,"GreaterEuropean,WestEuropean,Nordic"
320,e edwards,2,edwards,"GreaterEuropean,British"
316,e colombey,2,colombey,"GreaterEuropean,British"
272,d forde,2,forde,"GreaterEuropean,WestEuropean,Hispanic"
554,j zetterstrom-sharp,2,zetterstrom-sharp,"GreaterEuropean,British"
460,h howes,2,howes,"GreaterEuropean,British"
0,a adebajo,2,adebajo,"GreaterAfrican,Africans"
561,jbw de grecourt,2,de grecourt,"GreaterEuropean,WestEuropean,French"
984,sk kent,2,kent,"GreaterEuropean,British"
905,r peters,2,peters,"GreaterEuropean,British"
918,rg berry,2,berry,"GreaterEuropean,British"
949,s longair,2,longair,"GreaterEuropean,British"
957,s picton,2,picton,"GreaterEuropean,British"
972,sa hardy,2,hardy,"GreaterEuropean,British"
974,sb chebanenko,2,chebanenko,"GreaterEuropean,EastEuropean"
977,se weil,2,weil,"GreaterEuropean,Jewish"
979,sh dudley,2,dudley,"GreaterEuropean,British"
1002,t beaufils,2,beaufils,"GreaterEuropean,British"
868,pdund du progres,2,du progres,"GreaterEuropean,WestEuropean,French"
1008,t jenkins,2,jenkins,"GreaterEuropean,British"
1019,t thiemeyer,2,thiemeyer,"GreaterEuropean,WestEuropean,Germanic"
1027,u eco,2,eco,"GreaterEuropean,WestEuropean,Hispanic"
1032,v bellelli,2,bellelli,"GreaterEuropean,WestEuropean,Italian"
1035,v golding,2,golding,"GreaterEuropean,British"
1050,w klooster,2,klooster,"GreaterEuropean,Jewish"
1066,y gagou,2,gagou,"GreaterAfrican,Africans"
1075,zs strother,2,strother,"GreaterEuropean,British"
889,r dhaouadi,2,dhaouadi,"GreaterAfrican,Muslim"
866,p wood,2,wood,"GreaterEuropean,British"
578,jm carey,2,carey,"GreaterEuropean,British"
727,m o'neill,2,o'neill,"GreaterEuropean,British"
582,jn oriji,2,oriji,"Asian,GreaterEastAsian,Japanese"
586,jp feldman,2,feldman,"GreaterEuropean,Jewish"
606,k lagat,2,lagat,"GreaterEuropean,WestEuropean,French"
113,ap lombardo,2,lombardo,"GreaterEuropean,WestEuropean,Italian"
626,kg siehr,2,siehr,"GreaterEuropean,Jewish"
628,kl campbell,2,campbell,"GreaterEuropean,British"
646,l forster,2,forster,"GreaterEuropean,British"
699,m du plessis,2,du plessis,"GreaterEuropean,WestEuropean,French"
729,m orabona,2,orabona,"GreaterEuropean,WestEuropean,Italian"
837,p dupont,2,dupont,"GreaterEuropean,WestEuropean,French"
734,m quadraro,2,quadraro,"GreaterEuropean,WestEuropean,Italian"
737,m skrydstrup,2,skrydstrup,"GreaterEuropean,WestEuropean,Nordic"
746,m wilson,2,wilson,"GreaterEuropean,British"
786,n greani,2,greani,"GreaterEuropean,WestEuropean,Italian"
800,ngw curtis,2,curtis,"GreaterEuropean,British"
805,o akenzua ii,2,akenzua ii,"GreaterAfrican,Muslim"
829,p boele van hensbroek,2,boele van hensbroek,"GreaterEuropean,WestEuropean,Germanic"
835,p decraene,2,decraene,"GreaterEuropean,WestEuropean,French"
140,b kuster,2,kuster,"GreaterEuropean,Jewish"
539,j picton,2,picton,"GreaterEuropean,British"
93,ab collective,2,collective,"GreaterEuropean,British"
12,a de angelis,2,de angelis,"GreaterEuropean,WestEuropean,Italian"
85,a weigand,2,weigand,"GreaterEuropean,British"
49,a michael,2,michael,"GreaterEuropean,British"
24,a frega,2,frega,"GreaterEuropean,WestEuropean,Hispanic"
103,al araujo,2,araujo,"GreaterEuropean,WestEuropean,Hispanic"
88,aa adewumi,2,adewumi,"GreaterAfrican,Africans"
7,a breton,2,breton,"GreaterEuropean,British"
755,mc gonzalez-prats,1,gonzalez-prats,"GreaterEuropean,EastEuropean"
754,mc gamberini,1,gamberini,"GreaterEuropean,WestEuropean,Italian"
761,mg anderson,1,anderson,"GreaterEuropean,British"
756,me montle,1,montle,"GreaterEuropean,British"
757,me plante,1,plante,"GreaterEuropean,WestEuropean,Hispanic"
753,mc durkee,1,durkee,"Asian,IndianSubContinent"
758,me snodgrass,1,snodgrass,"GreaterEuropean,British"
759,me straumanis,1,straumanis,"GreaterEuropean,WestEuropean,Italian"
760,mf rarey,1,rarey,"GreaterEuropean,WestEuropean,French"
752,mc cunha,1,cunha,"GreaterEuropean,WestEuropean,Hispanic"
763,mgm lambert,1,lambert,"GreaterEuropean,British"
762,mg stanard,1,stanard,"GreaterEuropean,British"
750,mc ball,1,ball,"GreaterEuropean,British"
