,title,link
0,Benin Bronzes: Germany to return looted artefacts to Nigeria ...,https://www.bbc.com/news/world-africa-56949003
1,Fate of looted Benin Bronzes intensifies debate over restitution,https://www.ft.com/content/ee754d39-e171-4c36-a101-eaf208c00ee1
2,Nigeria welcomes Germany′s decision to return looted Benin ...,https://www.dw.com/en/nigeria-welcomes-germanys-decision-to-return-looted-benin-bronzes/a-57382591
3,Effort to Return Benin Bronzes to Africa Remains Ongoing ...,https://www.voanews.com/europe/effort-return-benin-bronzes-africa-remains-ongoing-challenge
4,Germany first to hand back Benin bronzes looted by British ...,https://www.theguardian.com/world/2021/apr/30/germany-first-to-hand-back-benin-bronzes-looted-by-british
5,Benin Bronzes Are Scattered All Over the World. We Asked ...,https://news.artnet.com/art-world/benin-bronzes-in-museums-1967773
6,Path Toward Restitution of Benin Bronzes Advances in ...,https://hyperallergic.com/633045/path-toward-restitution-of-benin-bronzes-advances-in-germany-and-uk/
7,Global survey: where in the world are the Benin bronzes ...,http://www.theartnewspaper.com/news/will-museums-give-the-benin-bronzes-back
8,Germany's Benin Bronzes will be returned to Nigeria - CNN ...,https://edition.cnn.com/style/article/benin-bronzes-germany-restitution/index.html
9,Germany Will Return Benin Bronzes to Nigeria in 2022 | Smart ...,https://www.smithsonianmag.com/smart-news/major-push-museums-around-world-make-plans-repatriate-benin-bronzes-nigeria-180977519/
10,More museums take steps to return Benin bronzes to Nigeria ...,https://www.museumsassociation.org/museums-journal/news/2021/04/more-museums-take-steps-to-return-benin-bronzes-to-nigeria/
11,This Art Was Looted 123 Years Ago. Will It Ever Be Returned ...,https://www.nytimes.com/2020/01/23/arts/design/benin-bronzes.html
12,A View from Nigeria - Contemporary AndContemporary And,https://contemporaryand.com/magazines/a-view-from-nigeria/
13,Benin bronzes: With Germany set to return looted art ...,https://www.washingtonpost.com/world/2021/05/10/benin-bronzes-germany-nigeria-looted-art/
14,Dismantling the Museum: Dan Hicks on the Benin Bronzes ...,https://www.gazette-drouot.com/en/article/dismantling-the-museum%253A-dan-hicks-on-the-benin-bronzes-and-cultural-restitution/23362
15,Restitution as imperial propaganda: the strange case of the ...,https://nomadit.co.uk/conference/easa2020/paper/54415
16,"From Germany to Ireland, a fresh push to return the Benin ...",https://www.aljazeera.com/news/2021/4/16/from-germany-to-ireland-a-fresh-push-to-return-the-benin-bronzes
17,"What Are the Benin Bronzes, and Why Do They Remain ...",https://www.artnews.com/feature/benin-bronzes-explained-repatriation-british-museum-humboldt-forum-1234588588/
18,Germany to return looted Benin Bronzes to Nigeria - The World,https://www.pri.org/stories/2021-05-17/germany-plans-return-looted-benin-bronzes-nigeria-will-other-countries-follow
19,The Benin Bronzes and the Cultural History of Museums ...,https://daily.jstor.org/the-benin-bronzes-and-the-cultural-history-of-museums/
20,Germany to return Benin Bronzes looted during colonial era ...,https://www.africanews.com/2021/04/30/germany-to-return-benin-s-bronzes-looted-during-colonial-era//
21,Restitution of Benin Bronzes Likely as Public Awareness ...,https://www.artandobject.com/news/restitution-benin-bronzes-likely-public-awareness-mounts
22,Benin Bronzes - Wikipedia,https://en.wikipedia.org/wiki/Benin_Bronzes
23,Benin bronzes: The long journey home | Chatham House ...,https://www.chathamhouse.org/publications/the-world-today/2021-06/benin-bronzes-long-journey-home
24,The missing Benin Bronzes - Prospect Magazine,https://www.prospectmagazine.co.uk/magazine/benin-bronzes-museum-west-africa-britain-colonialism-art
25,The Brutish Museums - Pluto Press,http://www.plutobooks.com/9780745341767/the-brutish-museums/
26,Auction house cancels sale of Benin bronze over looting ...,https://www.thetimes.co.uk/article/auction-house-cancels-sale-of-benin-bronze-over-looting-concerns-vgpvsr9dm
27,The Case for the Benin Bronzes and Ivories - CORE,https://core.ac.uk/download/pdf/232975148.pdf
28,"Display, Restitution and World Art History: The Case of the ...",https://www.tandfonline.com/doi/abs/10.1080/14714787.2012.641854
29,Why are Western museums giving back their artefacts? | The ...,https://www.economist.com/the-economist-explains/2021/04/20/why-are-western-museums-giving-back-their-artefacts
30,The Benin Bronzes: Towards the Resolution of a Long ...,https://www.youtube.com/watch?v=dkb7wjBPHaw
31,Book Launch 'The Brutish Museums: The Benin Bronzes ...,https://networks.h-net.org/node/73374/announcements/7344167/book-launch-brutish-museums-benin-bronzes-colonial-violence-and
32,"The Brutish Museums: The Benin Bronzes, Colonial Violence ...",https://www.amazon.com/Brutish-Museums-Colonial-Violence-Restitution/dp/0745346227
33,"LACMA, Fowler feel pressure to return looted Benin bronzes ...",https://www.latimes.com/entertainment-arts/story/2021-05-03/benin-bronzes-lacma-fowler-museum-looted-art
34,"Nigeria | Benin Bronzes and Restitution, the Journey so far ...",https://www.zammagazine.com/perspectives/blog/1113-nigeria-benin-bronzes-and-restitution-the-journey-so-far
35,Benin Bronzes: Two experts give an assessment,https://www.deutschland.de/en/topic/culture/benin-bronzes-two-experts-give-an-assessment
36,Germany intends to restitute artworks from the Kingdom of ...,https://www.aicgs.org/2021/05/germany-intends-to-restitute-artworks-from-the-kingdom-of-benin-benin-bronzes-to-nigeria/
37,Germany moves closer to returning Benin Bronzes | Apollo ...,https://www.apollo-magazine.com/germany-benin-bronzes-restitution-humboldt/
