,container_type,source,bib,filled,gsrank,pub_url,author_id,num_citations,url_scholarbib,url_add_sclib,citedby_url,url_related_articles,eprint_url
0,Publication,PublicationSource.PUBLICATION_SEARCH_SNIPPET,"{'title': ""Display, restitution and world art history: the case of the 'Benin Bronzes'"", 'author': ['P Wood'], 'pub_year': '2012', 'venue': 'Visual Culture in Britain', 'abstract': ""The article begins by discussing changing modes of display for non-Western visual cultures in Western museums, including Britain. Using the 'Benin bronzes' as a case study, the article argues for the existence of three distinct frameworks of display, linked to changing""}",False,1,https://www.tandfonline.com/doi/abs/10.1080/14714787.2012.641854,[''],16,/scholar?q=info:OgmIeoj2Fx0J:scholar.google.com/&output=cite&scirp=0&hl=en,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3Dbenin%2Bbronzes%2Brestitution%26hl%3Den%26as_sdt%3D0,33&citilm=1&json=&update_op=library_add&info=OgmIeoj2Fx0J&ei=wTnGYKOEJ8eTy9YP6J-NgAE","/scholar?cites=2096415217595975994&as_sdt=5,33&sciodt=0,33&hl=en","/scholar?q=related:OgmIeoj2Fx0J:scholar.google.com/&scioq=benin+bronzes+restitution&hl=en&as_sdt=0,33",https://www.tandfonline.com/doi/pdf/10.1080/14714787.2012.641854
1,Publication,PublicationSource.PUBLICATION_SEARCH_SNIPPET,"{'title': 'The Brutish Museums: The Benin Bronzes, Colonial Violence and Cultural Restitution', 'author': ['D Hicks'], 'pub_year': '2020', 'venue': 'NA', 'abstract': '“Restitution is not subtraction. It is refusing any longer to defend the indefensible. The continued  display of Benin loot is a continued violence.Returning the Bronzes will not heal the wounds  inflicted in their taking. But it will take the knife out.”'}",False,2,https://ethnicartscouncil.org/wp-content/uploads/EAC-The-Brutish-Museums-The-Benin-Bronzes-Colonial-Violence-and-Cultural-Restitution-1-1.pdf,['XeX2cq0AAAAJ'],12,/scholar?q=info:Vvokf4ppYj0J:scholar.google.com/&output=cite&scirp=1&hl=en,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3Dbenin%2Bbronzes%2Brestitution%26hl%3Den%26as_sdt%3D0,33&citilm=1&json=&update_op=library_add&info=Vvokf4ppYj0J&ei=wTnGYKOEJ8eTy9YP6J-NgAE","/scholar?cites=4423213827590781526&as_sdt=5,33&sciodt=0,33&hl=en","/scholar?q=related:Vvokf4ppYj0J:scholar.google.com/&scioq=benin+bronzes+restitution&hl=en&as_sdt=0,33",
2,Publication,PublicationSource.PUBLICATION_SEARCH_SNIPPET,"{'title': 'Restituting colonial plunder: The case for the Benin bronzes and ivories', 'author': ['S Kiwara-Wilson'], 'pub_year': '2012', 'venue': 'DePaul J. Art Tech. & Intell. Prop. L', 'abstract': '31. Martins 0. Akanbiemu, The Dispersal of Benin Works of Art Vis-A-Vis the Return and Restitution of Cultural Property  BENIN BRONZES  from altars, which were covered with the remnants of various sacrifices."" The palace shrines also contained various bronze memorial heads'}",False,3,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/dael23&section=16,[''],10,/scholar?q=info:3IrgPsTbvd8J:scholar.google.com/&output=cite&scirp=2&hl=en,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3Dbenin%2Bbronzes%2Brestitution%26hl%3Den%26as_sdt%3D0,33&citilm=1&json=&update_op=library_add&info=3IrgPsTbvd8J&ei=wTnGYKOEJ8eTy9YP6J-NgAE","/scholar?cites=16122283876971219676&as_sdt=5,33&sciodt=0,33&hl=en","/scholar?q=related:3IrgPsTbvd8J:scholar.google.com/&scioq=benin+bronzes+restitution&hl=en&as_sdt=0,33",http://via.library.depaul.edu/cgi/viewcontent.cgi?article=1052&context=jatip
3,Publication,PublicationSource.PUBLICATION_SEARCH_SNIPPET,"{'title': 'The Brutish Museums: the Benin Bronzes, colonial violence and cultural restitution by Dan Hicks', 'author': ['C Prescod'], 'pub_year': '2021', 'venue': 'NA', 'abstract': ""It would be safe to judge this book by its cover. The graphics parody the iconic British Museum signage/font, substituting 'Brutish'for British. It announces an assault on established historiography. The author, Dan Hicks, is Professor of Contemporary Archaeology at the""}",False,4,https://journals.sagepub.com/doi/full/10.1177/03063968211001664,[''],0,/scholar?q=info:VBU4jZhNRKoJ:scholar.google.com/&output=cite&scirp=3&hl=en,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3Dbenin%2Bbronzes%2Brestitution%26hl%3Den%26as_sdt%3D0,33&citilm=1&json=&update_op=library_add&info=VBU4jZhNRKoJ&ei=wTnGYKOEJ8eTy9YP6J-NgAE",,,
4,Publication,PublicationSource.PUBLICATION_SEARCH_SNIPPET,"{'title': 'The Brutish Museums: The Benin Bronzes, Colonial Violence and Cultural Restitution: By Dan Hicks. Pp. 336. London: Pluto Press, 2020.£ 20 (HB). ISBN …', 'author': ['J Zetterström-Sharp'], 'pub_year': '2021', 'venue': 'NA', 'abstract': ""The Brutish Museums by Dan Hicks is both an intellectual and theoretical engagement with an academic discipline, and a work of public activism and consequential intent. It is the latter that has underwritten the book's success and popularity, picking up on the long-term""}",False,5,https://www.tandfonline.com/doi/full/10.1080/14655187.2021.1903710,[''],0,/scholar?q=info:Ijr1Kt5a2AIJ:scholar.google.com/&output=cite&scirp=4&hl=en,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3Dbenin%2Bbronzes%2Brestitution%26hl%3Den%26as_sdt%3D0,33&citilm=1&json=&update_op=library_add&info=Ijr1Kt5a2AIJ&ei=wTnGYKOEJ8eTy9YP6J-NgAE",,,
5,Publication,PublicationSource.PUBLICATION_SEARCH_SNIPPET,"{'title': 'Restitution or re-circulation: Benin, Ife and Nok', 'author': ['F Willett'], 'pub_year': '2000', 'venue': 'Journal of Museum Ethnography', 'abstract': ""Ojo, JR0. 1975. 'A bronze stool collected at Ijebu Ode'. African Arts 9.1: 48-51, 92. Omoruyi, A. (ed), nd Benin Series A new Dimension in Benin Studies. [Second Issuel Benin Citv: Cultural Publications, New Benin. Phillips, T. 1995  Underwood, L. 1949. Bronzes of West Africa""}",False,6,https://www.jstor.org/stable/40793650,[''],12,/scholar?q=info:Mxs5ZaG3StgJ:scholar.google.com/&output=cite&scirp=5&hl=en,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3Dbenin%2Bbronzes%2Brestitution%26hl%3Den%26as_sdt%3D0,33&citilm=1&json=&update_op=library_add&info=Mxs5ZaG3StgJ&ei=wTnGYKOEJ8eTy9YP6J-NgAE","/scholar?cites=15585471364284881715&as_sdt=5,33&sciodt=0,33&hl=en","/scholar?q=related:Mxs5ZaG3StgJ:scholar.google.com/&scioq=benin+bronzes+restitution&hl=en&as_sdt=0,33",
6,Publication,PublicationSource.PUBLICATION_SEARCH_SNIPPET,"{'title': 'BENIN BRONZES: SOMETHING GRAVE HAPPENED AND IMPERIAL RULE OF LAW IS SUSTAINING IT!', 'author': ['F Shyllon'], 'pub_year': '2019', 'venue': 'Art Antiquity & Law', 'abstract': 'When an Oba died, a formal head was cast in bronze as a furnishing for an altar erected to his memory. The bronzes plundered in their thousands by the 1897 punitive expedition against the Kingdom of Benin were dispersed among museums in Europe and the'}",False,7,https://go.gale.com/ps/i.do?id=GALE%7CA606173686&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=13622331&p=AONE&sw=w,[''],0,/scholar?q=info:WJptrmILX44J:scholar.google.com/&output=cite&scirp=6&hl=en,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3Dbenin%2Bbronzes%2Brestitution%26hl%3Den%26as_sdt%3D0,33&citilm=1&json=&update_op=library_add&info=WJptrmILX44J&ei=wTnGYKOEJ8eTy9YP6J-NgAE",,,
7,Publication,PublicationSource.PUBLICATION_SEARCH_SNIPPET,"{'title': ""On the 'heritage'of objects: between racism and restitution"", 'author': ['M Twitchin'], 'pub_year': '2020', 'venue': 'NA', 'abstract': ""'On the 'heritage' of objects: between racism and restitution'  Museums are a privileged site for unsettling the very “colonial certainties” that they, nonetheless, embody institutionally and, in this presentation, I wish to explore the changing meanings of the famous Benin “bronzes”""}",False,8,http://research.gold.ac.uk/29246/,[''],0,/scholar?q=info:MSEcQqEzYHkJ:scholar.google.com/&output=cite&scirp=7&hl=en,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3Dbenin%2Bbronzes%2Brestitution%26hl%3Den%26as_sdt%3D0,33&citilm=1&json=&update_op=library_add&info=MSEcQqEzYHkJ&ei=wTnGYKOEJ8eTy9YP6J-NgAE",,,
8,Publication,PublicationSource.PUBLICATION_SEARCH_SNIPPET,"{'title': 'Dan Hicks: The Brutish Museums–The Benin Bronzes, Colonial Violence and Cultural Restitution', 'author': ['G Vasey'], 'pub_year': '2021', 'venue': 'Art Monthly', 'abstract': ""If the bullet and the camera are tools of colonial governance that aim to kill and capture at speed, the museum vitrine decelerates time, enacting a slower aggression. The museum is a device of'colonial remembering'that naturalises white supremacy by creating difference""}",False,9,https://search.proquest.com/openview/4db572b0e5f7180bafc719b70db61082/1?pq-origsite=gscholar&cbl=106011,[''],0,/scholar?q=info:-Qj_gqHWZkEJ:scholar.google.com/&output=cite&scirp=8&hl=en,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3Dbenin%2Bbronzes%2Brestitution%26hl%3Den%26as_sdt%3D0,33&citilm=1&json=&update_op=library_add&info=-Qj_gqHWZkEJ&ei=wTnGYKOEJ8eTy9YP6J-NgAE",,,
9,Publication,PublicationSource.PUBLICATION_SEARCH_SNIPPET,"{'title': 'The rise of negotiation (ADR) in restitution, return and repatriation of cultural property: moral pressure and power pressure', 'author': ['F Shyllon'], 'pub_year': '2017', 'venue': 'Art Antiquity & Law', 'abstract': 'emotive, with the most hotly pursued items being a collection of twelve bronze animal heads  how not much has come out of the requests for return and restitution by African  Concerning Benin Bronzes and Asante Gold Exhibitions and the Throwing away of the Bargaining Chip'}",False,10,https://go.gale.com/ps/i.do?id=GALE%7CA504460479&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=13622331&p=AONE&sw=w,[''],7,/scholar?q=info:47Y2UuhV1tcJ:scholar.google.com/&output=cite&scirp=9&hl=en,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3Dbenin%2Bbronzes%2Brestitution%26hl%3Den%26as_sdt%3D0,33&citilm=1&json=&update_op=library_add&info=47Y2UuhV1tcJ&ei=wTnGYKOEJ8eTy9YP6J-NgAE","/scholar?cites=15552712819470677731&as_sdt=5,33&sciodt=0,33&hl=en","/scholar?q=related:47Y2UuhV1tcJ:scholar.google.com/&scioq=benin+bronzes+restitution&hl=en&as_sdt=0,33",
